outer_fold,control_type,n,mean_displacement,median_displacement,max_displacement
1,TIGHTBLOCK50,975,1.0191278020918103e-16,0.0,7.771561172376096e-16
1,LOCAL_W10,975,1.0191278020918103e-16,0.0,7.771561172376096e-16
1,GLOBAL_CONTIG,975,1.0191278020918103e-16,0.0,7.771561172376096e-16
2,TIGHTBLOCK50,950,8.063725126224822e-17,0.0,5.551115123125783e-16
2,LOCAL_W10,950,8.063725126224822e-17,0.0,5.551115123125783e-16
2,GLOBAL_CONTIG,950,8.063725126224822e-17,0.0,5.551115123125783e-16
3,TIGHTBLOCK50,975,1.0419016077251469e-16,0.0,7.771561172376096e-16
3,LOCAL_W10,975,1.0419016077251469e-16,0.0,7.771561172376096e-16
3,GLOBAL_CONTIG,975,1.0419016077251469e-16,0.0,7.771561172376096e-16
4,TIGHTBLOCK50,965,1.104470573720363e-16,0.0,7.771561172376096e-16
4,LOCAL_W10,965,1.104470573720363e-16,0.0,7.771561172376096e-16
4,GLOBAL_CONTIG,965,1.104470573720363e-16,0.0,7.771561172376096e-16
5,TIGHTBLOCK50,960,9.194034422677078e-17,0.0,6.661338147750939e-16
5,LOCAL_W10,960,9.194034422677078e-17,0.0,6.661338147750939e-16
5,GLOBAL_CONTIG,960,9.194034422677078e-17,0.0,6.661338147750939e-16
