accession	strain	submitter	source
GCA_021292855.1	strain=IMAU40133 	 Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China	ncbi
GCA_000017965.1	strain=C3-41	Wuhan Institute of Virology, Chinese Academy of Sciences	ncbi
GCA_021297595.1	strain=IMAU80842 	 Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China	ncbi
GCA_000019245.3	strain=Zhang	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	ncbi
GCA_021297695.1	strain=IMAU80809 	 Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China	ncbi
GCA_000092765.1	strain=V9	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	ncbi
GCA_021560135.1	strain=W2 	 Ocean University of China	ncbi
GCA_000166315.1	strain=BBMN68	Key Lab of Functional Dairy Science of Chinese Ministry of Education, College of Food Science and Nutritional Engineering, China Agricultural University	ncbi
GCA_023612195.1	strain=M4 	 South China University of Technology	ncbi
GCA_025631195.1	strain=L1 	 Chinese Academy of Sciences	ncbi
GCA_000182835.1	strain=ND02	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	ncbi
GCA_028369155.1	strain=CML393 	 China Agricultural University	ncbi
GCA_000182875.1	strain=ND03	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	ncbi
GCA_029541965.1	strain=Bi-OTA128 	 China Agricultural University	ncbi
GCA_000189515.1	strain=H10	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	ncbi
GCA_036880975.1	strain=Lp20 	 China Agricultural University	ncbi
Bifidobacterium_animalis_Probio-M8	Probio-M8	Key Laboratory	keylab
Bifidobacterium_animalis_subsp._lactis_V9	V9	Key Laboratory	keylab
Bifidobacterium_animalis_subsp._lactis__BB-69	BB-69	Key Laboratory	keylab
Bifidobacterium_animalis_subsp._lactis__Bbm-19	Bbm-19	Key Laboratory	keylab
Bifidobacterium_breve_BX-18	BX-18	Key Laboratory	keylab
Bifidobacterium_infantis_B8762	B8762	Key Laboratory	keylab
Lacticaseibacillus_casei_Zhang	Zhang	Key Laboratory	keylab
Lacticaseibacillus_paracasei_PC-01	PC-01	Key Laboratory	keylab
Lacticaseibacillus_rhamnosus_Probio-M9	Probio-M9	Key Laboratory	keylab
Lactiplantibacillus_plantarum_P-8	P-8	Key Laboratory	keylab
Lactiplantibacillus_plantarum_P9	P9	Key Laboratory	keylab
Lactobacillus_acidophilus_LA-06	LA-06	Key Laboratory	keylab
Limosilactobacillus_fermentum_UP-1	UP-1	Key Laboratory	keylab
GCA_000191165.1	strain=2038	Chinese National HGC	ncbi
