column,rows_with_accession,unique_accessions,examples
local_genome_files,1025,1054,GCA_000003135.1 | GCA_000005845.2 | GCA_000006765.1 | GCA_000006865.1 | GCA_000006965.1 | GCA_000007525.1 | GCA_000008065.1 | GCA_000008925.1
current_genome_key,1025,1025,GCA_000478525.1 | GCA_000604145.1 | GCA_000708735.1 | GCA_000736295.2 | GCA_000736295.3 | GCA_000736295.4 | GCA_000825065.1 | GCA_000825085.1
primary_accession,1025,1025,GCA_000478525.1 | GCA_000604145.1 | GCA_000708735.1 | GCA_000736295.2 | GCA_000736295.3 | GCA_000736295.4 | GCA_000825065.1 | GCA_000825085.1
gca_accession,1025,1025,GCA_000003135.1 | GCA_000005845.2 | GCA_000006765.1 | GCA_000006865.1 | GCA_000006965.1 | GCA_000007525.1 | GCA_000008065.1 | GCA_000008925.1
gcf_accession,936,936,GCF_000003135.1 | GCF_000005845.2 | GCF_000006765.1 | GCF_000006865.1 | GCF_000006965.1 | GCF_000007525.1 | GCF_000008065.1 | GCF_000008925.1
strain_entity_id,0,0,
species,0,0,
strain,0,0,
taxon_main,0,0,
taxon_key,0,0,
assembly_level,0,0,
culture_collection,0,0,
isolation_source,0,0,
isolation_host,0,0,
isolation_country,0,0,
isolation_sample_type,0,0,
legacy_pdb_ids,0,0,
legacy_genome_uids,0,0,
culture_collection_ids,0,0,
local_genome_file_count,0,0,
old_paper_count,0,0,
old_evidence_count,0,0,
old_clinical_count,0,0,
old_animal_count,0,0,
old_in_vitro_count,0,0,
probiotic_source_tags,0,0,
matched_evidence_rows_v3,0,0,
matched_publications_v3,0,0,
matched_functions_v3,0,0,
clinical_evidence_v3,0,0,
animal_evidence_v3,0,0,
in_vitro_evidence_v3,0,0,
has_strain_resolved_evidence_v3,0,0,
