_registry_row,strain_entity_id,current_genome_key,registry_accession_candidates,registry_accession_bases,n_accession_candidates,accession_source_columns
0,STRAIN_000001,GCA_000478525.1,GCA_000478525.1,GCA_000478525,1,"GCA_000478525.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
1,STRAIN_000002,GCA_000604145.1,GCA_000604145.1,GCA_000604145,1,"GCA_000604145.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
2,STRAIN_000003,GCA_000708735.1,GCA_000708735.1,GCA_000708735,1,"GCA_000708735.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
3,STRAIN_000004,GCA_000736295.2,GCA_000736295.2,GCA_000736295,1,"GCA_000736295.2:current_genome_key,primary_accession,gca_accession,local_genome_files"
4,STRAIN_000005,GCA_000736295.3,GCA_000736295.3,GCA_000736295,1,"GCA_000736295.3:current_genome_key,primary_accession,gca_accession,local_genome_files"
5,STRAIN_000006,GCA_000736295.4,GCA_000736295.4,GCA_000736295,1,"GCA_000736295.4:current_genome_key,primary_accession,gca_accession,local_genome_files"
6,STRAIN_000007,GCA_000825065.1,GCA_000825065.1,GCA_000825065,1,"GCA_000825065.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
7,STRAIN_000008,GCA_000825085.1,GCA_000825085.1,GCA_000825085,1,"GCA_000825085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
8,STRAIN_000009,GCA_000825105.1,GCA_000825105.1,GCA_000825105,1,"GCA_000825105.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
9,STRAIN_000010,GCA_000825125.1,GCA_000825125.1,GCA_000825125,1,"GCA_000825125.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
10,STRAIN_000011,GCA_000825145.1,GCA_000825145.1,GCA_000825145,1,"GCA_000825145.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
11,STRAIN_000012,GCA_001044085.1,GCA_001044085.1,GCA_001044085,1,"GCA_001044085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
12,STRAIN_000013,GCA_001447955.1,GCA_001447955.1,GCA_001447955,1,"GCA_001447955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
13,STRAIN_000014,GCA_001447975.1,GCA_001447975.1,GCA_001447975,1,"GCA_001447975.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
14,STRAIN_000015,GCA_002072085.1,GCA_002072085.1,GCA_002072085,1,"GCA_002072085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
15,STRAIN_000016,GCA_002406785.1,GCA_002406785.1,GCA_002406785,1,"GCA_002406785.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
16,STRAIN_000017,GCA_003047065.1,GCA_003047065.1 | GCF_003047065.1,GCA_003047065 | GCF_003047065,2,"GCA_003047065.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_003047065.1:gcf_accession"
17,STRAIN_000018,GCA_003094635.1,GCA_003094635.1,GCA_003094635,1,"GCA_003094635.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
18,STRAIN_000019,GCA_003094855.1,GCA_003094855.1,GCA_003094855,1,"GCA_003094855.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
19,STRAIN_000020,GCA_003094935.1,GCA_003094935.1,GCA_003094935,1,"GCA_003094935.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
20,STRAIN_000021,GCA_003094955.1,GCA_003094955.1,GCA_003094955,1,"GCA_003094955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
21,STRAIN_000022,GCA_003094975.1,GCA_003094975.1,GCA_003094975,1,"GCA_003094975.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
22,STRAIN_000023,GCA_003094995.1,GCA_003094995.1,GCA_003094995,1,"GCA_003094995.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
23,STRAIN_000024,GCA_003573955.1,GCA_003573955.1,GCA_003573955,1,"GCA_003573955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
24,STRAIN_000025,GCA_004771035.1,GCA_004771035.1,GCA_004771035,1,"GCA_004771035.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
25,STRAIN_000026,GCA_008868445.1,GCA_008868445.1,GCA_008868445,1,"GCA_008868445.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
26,STRAIN_000027,GCA_013204895.1,GCA_013204895.1,GCA_013204895,1,"GCA_013204895.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
27,STRAIN_000028,GCA_013394345.1,GCA_013394345.1,GCA_013394345,1,"GCA_013394345.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
28,STRAIN_000029,GCA_017009715.1,GCA_017009715.1 | GCF_017009715.1,GCA_017009715 | GCF_017009715,2,"GCA_017009715.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_017009715.1:gcf_accession"
29,STRAIN_000030,GCA_018140675.1,GCA_018140675.1,GCA_018140675,1,"GCA_018140675.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
