door_accession,door_accession_key,door_assembly_number,door_version,door_prefix,genome_dir,feature_table_member,operon_member,has_operon_label_file
GCA_000005825.2,000005825.2,000005825,2,GCA,data/Bacillus_pseudofirmus_OF4,data/Bacillus_pseudofirmus_OF4/GCA_000005825.2_ASM582v2_feature_table.txt,data/Bacillus_pseudofirmus_OF4/Bacillus_pseudofirmus_OF4_NC_013791_operon_classification_output.txt,True
GCA_000005845.2,000005845.2,000005845,2,GCA,data/Escherichia_coli_str._K-12_substr._MG1655,data/Escherichia_coli_str._K-12_substr._MG1655/GCA_000005845.2_ASM584v2_feature_table.txt,data/Escherichia_coli_str._K-12_substr._MG1655/Escherichia_coli_str._K-12_substr._MG1655_NC_000913_operon_classification_output.txt,True
GCA_000006175.2,000006175.2,000006175,2,GCA,data/Methanococcus_voltae_A3,data/Methanococcus_voltae_A3/GCA_000006175.2_ASM617v2_feature_table.txt,data/Methanococcus_voltae_A3/Methanococcus_voltae_A3_NC_014222_operon_classification_output.txt,True
GCA_000006605.1,000006605.1,000006605,1,GCA,data/Corynebacterium_jeikeium_K411,data/Corynebacterium_jeikeium_K411/GCA_000006605.1_ASM660v1_feature_table.txt,data/Corynebacterium_jeikeium_K411/Corynebacterium_jeikeium_K411_NC_007164_operon_classification_output.txt,True
GCA_000006625.1,000006625.1,000006625,1,GCA,data/Ureaplasma_parvum_serovar_3_str._ATCC_700970,data/Ureaplasma_parvum_serovar_3_str._ATCC_700970/GCA_000006625.1_ASM662v1_feature_table.txt,data/Ureaplasma_parvum_serovar_3_str._ATCC_700970/Ureaplasma_parvum_serovar_3_str._ATCC_700970_NC_002162_operon_classification_output.txt,True
GCA_000006645.1,000006645.1,000006645,1,GCA,data/Yersinia_pestis_KIM_10,data/Yersinia_pestis_KIM_10/GCA_000006645.1_ASM664v1_feature_table.txt,data/Yersinia_pestis_KIM_10/Yersinia_pestis_KIM_10_NC_004088_operon_classification_output.txt,True
GCA_000006665.1,000006665.1,000006665,1,GCA,data/Escherichia_coli_O157H7_str._EDL933,data/Escherichia_coli_O157H7_str._EDL933/GCA_000006665.1_ASM666v1_feature_table.txt,data/Escherichia_coli_O157H7_str._EDL933/Escherichia_coli_O157H7_str._EDL933_NC_002655_operon_classification_output.txt,True
GCA_000006685.1,000006685.1,000006685,1,GCA,data/Chlamydia_muridarum_Nigg,data/Chlamydia_muridarum_Nigg/GCA_000006685.1_ASM668v1_feature_table.txt,data/Chlamydia_muridarum_Nigg/Chlamydia_muridarum_Nigg_NC_002620_operon_classification_output.txt,True
GCA_000006725.1,000006725.1,000006725,1,GCA,data/Xylella_fastidiosa_9a5c,data/Xylella_fastidiosa_9a5c/GCA_000006725.1_ASM672v1_feature_table.txt,data/Xylella_fastidiosa_9a5c/Xylella_fastidiosa_9a5c_NC_002488_operon_classification_output.txt,True
GCA_000006745.1,000006745.1,000006745,1,GCA,data/Vibrio_cholerae_O1_biovar_El_Tor_str._N16961,data/Vibrio_cholerae_O1_biovar_El_Tor_str._N16961/GCA_000006745.1_ASM674v1_feature_table.txt,data/Vibrio_cholerae_O1_biovar_El_Tor_str._N16961/Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_NC_002506_operon_classification_output.txt,True
GCA_000006765.1,000006765.1,000006765,1,GCA,data/Pseudomonas_aeruginosa_PAO1,data/Pseudomonas_aeruginosa_PAO1/GCA_000006765.1_ASM676v1_feature_table.txt,data/Pseudomonas_aeruginosa_PAO1/Pseudomonas_aeruginosa_PAO1_NC_002516_operon_classification_output.txt,True
GCA_000006785.2,000006785.2,000006785,2,GCA,data/Streptococcus_pyogenes_M1_GAS,data/Streptococcus_pyogenes_M1_GAS/GCA_000006785.2_ASM678v2_feature_table.txt,data/Streptococcus_pyogenes_M1_GAS/Streptococcus_pyogenes_M1_GAS_NC_002737_operon_classification_output.txt,True
GCA_000006805.1,000006805.1,000006805,1,GCA,data/Halobacterium_sp._NRC-1,data/Halobacterium_sp._NRC-1/GCA_000006805.1_ASM680v1_feature_table.txt,data/Halobacterium_sp._NRC-1/Halobacterium_sp._NRC-1_NC_002607_operon_classification_output.txt,True
GCA_000006825.1,000006825.1,000006825,1,GCA,data/Pasteurella_multocida_subsp._multocida_str._Pm70,data/Pasteurella_multocida_subsp._multocida_str._Pm70/GCA_000006825.1_ASM682v1_feature_table.txt,data/Pasteurella_multocida_subsp._multocida_str._Pm70/Pasteurella_multocida_subsp._multocida_str._Pm70_NC_002663_operon_classification_output.txt,True
GCA_000006845.1,000006845.1,000006845,1,GCA,data/Neisseria_gonorrhoeae_FA_1090,data/Neisseria_gonorrhoeae_FA_1090/GCA_000006845.1_ASM684v1_feature_table.txt,data/Neisseria_gonorrhoeae_FA_1090/Neisseria_gonorrhoeae_FA_1090_NC_002946_operon_classification_output.txt,True
GCA_000006865.1,000006865.1,000006865,1,GCA,data/Lactococcus_lactis_subsp._lactis_Il1403,data/Lactococcus_lactis_subsp._lactis_Il1403/GCA_000006865.1_ASM686v1_feature_table.txt,data/Lactococcus_lactis_subsp._lactis_Il1403/Lactococcus_lactis_subsp._lactis_Il1403_NC_002662_operon_classification_output.txt,True
