accession	source_metadata_files
GCA_000003135	02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;12_STRICT_GenoGrammar_assembly_bridge.csv
GCA_000003135.1	01_registry_accession_column_audit.csv;02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;04_registry_genome_identity_resolved.csv;12_STRICT_GenoGrammar_assembly_bridge.csv
GCA_000005825	24_DOOR2_genome_manifest.csv
GCA_000005825.2	24_DOOR2_genome_manifest.csv
GCA_000005845	02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000005845.2	01_registry_accession_column_audit.csv;02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;04_registry_genome_identity_resolved.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000006175	24_DOOR2_genome_manifest.csv
GCA_000006175.2	24_DOOR2_genome_manifest.csv
GCA_000006605	24_DOOR2_genome_manifest.csv
GCA_000006605.1	24_DOOR2_genome_manifest.csv
GCA_000006625	24_DOOR2_genome_manifest.csv
GCA_000006625.1	24_DOOR2_genome_manifest.csv
GCA_000006645	24_DOOR2_genome_manifest.csv
GCA_000006645.1	24_DOOR2_genome_manifest.csv
GCA_000006665	24_DOOR2_genome_manifest.csv
GCA_000006665.1	24_DOOR2_genome_manifest.csv
GCA_000006685	24_DOOR2_genome_manifest.csv
GCA_000006685.1	24_DOOR2_genome_manifest.csv
GCA_000006725	24_DOOR2_genome_manifest.csv
GCA_000006725.1	24_DOOR2_genome_manifest.csv
GCA_000006745	24_DOOR2_genome_manifest.csv
GCA_000006745.1	24_DOOR2_genome_manifest.csv
GCA_000006765	02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000006765.1	01_registry_accession_column_audit.csv;02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;04_registry_genome_identity_resolved.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000006785	24_DOOR2_genome_manifest.csv
GCA_000006785.2	24_DOOR2_genome_manifest.csv
GCA_000006805	24_DOOR2_genome_manifest.csv
GCA_000006805.1	24_DOOR2_genome_manifest.csv
GCA_000006825	24_DOOR2_genome_manifest.csv
GCA_000006825.1	24_DOOR2_genome_manifest.csv
GCA_000006845	24_DOOR2_genome_manifest.csv
GCA_000006845.1	24_DOOR2_genome_manifest.csv
GCA_000006865	02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000006865.1	01_registry_accession_column_audit.csv;02_registry_all_accession_candidates.csv;03_genome_path_accession_index.csv;04_registry_genome_identity_resolved.csv;12_STRICT_GenoGrammar_assembly_bridge.csv;24_DOOR2_genome_manifest.csv
GCA_000006885	24_DOOR2_genome_manifest.csv
GCA_000006885.1	24_DOOR2_genome_manifest.csv
GCA_000006905	24_DOOR2_genome_manifest.csv
GCA_000006905.1	24_DOOR2_genome_manifest.csv
GCA_000006925	24_DOOR2_genome_manifest.csv
GCA_000006925.2	24_DOOR2_genome_manifest.csv
GCA_000006945	24_DOOR2_genome_manifest.csv
