relative_path	filename	file_category	size_bytes	resolved_accession	resolution_method	source_metadata	sha256
china/ncbi/GCA_000017965.1.fa.gz	GCA_000017965.1.fa.gz	public_accession_genome	1424609	GCA_000017965.1	filename		b2a2689db83726b030e43dd4b52b7659abc2427ac4440aebd8c1ba3c4e9aae7f
china/ncbi/GCA_000019245.3.fa.gz	GCA_000019245.3.fa.gz	public_accession_genome	862966	GCA_000019245.3	filename		985a48242722797ae1d00d05a7fbea197601a3fb8b998d37fe4d56fc260dfa76
china/ncbi/GCA_000092765.1.fa.gz	GCA_000092765.1.fa.gz	public_accession_genome	568349	GCA_000092765.1	filename		531f246a4dfa1b0f097dd19ffbb26217d513919ed78c2740add0e1959173173f
china/ncbi/GCA_000166315.1.fa.gz	GCA_000166315.1.fa.gz	public_accession_genome	668390	GCA_000166315.1	filename		79c2f140b3f3004d1771576fd5fe6dececa4d750d94cf5c829841a0aa00608e4
china/ncbi/GCA_000182835.1.fa.gz	GCA_000182835.1.fa.gz	public_accession_genome	628294	GCA_000182835.1	filename		8381017f4f47d1132be300ee80968cf2c003b0365307ed7189e04455329eb73d
china/ncbi/GCA_000182875.1.fa.gz	GCA_000182875.1.fa.gz	public_accession_genome	542325	GCA_000182875.1	filename		91af264e9be82b7af6716f4936e4137149153e85be6e8bd70d70cd3294a6818a
china/ncbi/GCA_000189515.1.fa.gz	GCA_000189515.1.fa.gz	public_accession_genome	636223	GCA_000189515.1	filename		d10313ad8d4940776be49787d76a3551164dc39d920c505d7c6182ce1f63fc47
china/ncbi/GCA_000191165.1.fa.gz	GCA_000191165.1.fa.gz	public_accession_genome	550688	GCA_000191165.1	filename		3ef7d6a45e024910e5de37bac854650bd635f58c19c6f3ac3d4234e30c44c543
china/ncbi/GCA_000192705.1.fa.gz	GCA_000192705.1.fa.gz	public_accession_genome	735603	GCA_000192705.1	filename		df4d4511f96669f120ee11aa48261115d4af540d3d7ca920e6cac62c146bd6dc
china/ncbi/GCA_000194765.1.fa.gz	GCA_000194765.1.fa.gz	public_accession_genome	931347	GCA_000194765.1	filename		25100b33dd0a27fd11fb35c84e3e9b37449c6bd79191d2eb4cecffd5d0aace85
china/ncbi/GCA_000194785.1.fa.gz	GCA_000194785.1.fa.gz	public_accession_genome	915346	GCA_000194785.1	filename		b66f2e6ae27fc5a3a449ccbfc69abb968abff7e701289753188d33176d5a01b4
china/ncbi/GCA_000226235.1.fa.gz	GCA_000226235.1.fa.gz	public_accession_genome	858482	GCA_000226235.1	filename		fc2d5255482fbcfd66b64d94521a95cbb4cf507e76cb6c3879cdc892b57d6b6b
china/ncbi/GCA_000392485.2.fa.gz	GCA_000392485.2.fa.gz	public_accession_genome	967274	GCA_000392485.2	filename		048884695d4920b5f2c7081b26053b00eb1ef22e25e92d1ac78405f01a6d36de
china/ncbi/GCA_000397165.1.fa.gz	GCA_000397165.1.fa.gz	public_accession_genome	610529	GCA_000397165.1	filename		da8fdbb3ab68a2b14f2145d0abdbb082772b739234e3a9ad518e427bddaf9453
china/ncbi/GCA_000410995.1.fa.gz	GCA_000410995.1.fa.gz	public_accession_genome	619017	GCA_000410995.1	filename		82bc3e9dd0835cedee2aa041b42a77567c383a6c00a5a3d81ca092379709a504
china/ncbi/GCA_000525715.1.fa.gz	GCA_000525715.1.fa.gz	public_accession_genome	548080	GCA_000525715.1	filename		5c56eb50bf600c636b2613608baa09d6e4490724ea2cdc1895adbd6460062843
china/ncbi/GCA_000695895.1.fa.gz	GCA_000695895.1.fa.gz	public_accession_genome	564343	GCA_000695895.1	filename		ef8a2b8ac29d461bb51ae7b722ca32de7c5cf56cca09455712a60e0339e58a91
china/ncbi/GCA_000764285.1.fa.gz	GCA_000764285.1.fa.gz	public_accession_genome	986490	GCA_000764285.1	filename		d0fd6a58af9d255fe888db446c05bcc12aa887a84ac589d32cb8cd3f75d4a903
china/ncbi/GCA_000816205.1.fa.gz	GCA_000816205.1.fa.gz	public_accession_genome	568880	GCA_000816205.1	filename		3eae99e2a31b6cc0a77ec3e374cdb51a9ae8db8924d2bafaa1ed033fc79c4d2b
china/ncbi/GCA_000817045.1.fa.gz	GCA_000817045.1.fa.gz	public_accession_genome	570002	GCA_000817045.1	filename		5740cfecba649c2944e1e10edf3936e7800873a5a6f2dcf35c595937db130ac4
china/ncbi/GCA_000817995.1.fa.gz	GCA_000817995.1.fa.gz	public_accession_genome	638187	GCA_000817995.1	filename		72b24791c50048d32e5f834e6db6c9f6b6c51f684907db8cfccbb7216cab4600
china/ncbi/GCA_001191565.1.fa.gz	GCA_001191565.1.fa.gz	public_accession_genome	883154	GCA_001191565.1	filename		26426c0c0ee84d50f168aeb205fd6cce4959540b1667a08271b853038f75b852
china/ncbi/GCA_001244395.1.fa.gz	GCA_001244395.1.fa.gz	public_accession_genome	910918	GCA_001244395.1	filename		0ade77c4b2133277b21020cb62c9d42e84c559812610816854dafcdce3347f82
china/ncbi/GCA_001278015.1.fa.gz	GCA_001278015.1.fa.gz	public_accession_genome	965944	GCA_001278015.1	filename		6e1c12921e2b9d42d113d89a19c4c45969a8ad28112873d85f2fa3b7bf7958c2
china/ncbi/GCA_001308285.1.fa.gz	GCA_001308285.1.fa.gz	public_accession_genome	631861	GCA_001308285.1	filename		0c67c449109b1bd83aef4a6338fb15256249750138d48ac9ec97464e90369842
china/ncbi/GCA_001514435.1.fa.gz	GCA_001514435.1.fa.gz	public_accession_genome	528887	GCA_001514435.1	filename		5a4901b9743c017000bf1c0975c17f268580c999a39dfec539b40668535236ea
china/ncbi/GCA_001617525.2.fa.gz	GCA_001617525.2.fa.gz	public_accession_genome	976147	GCA_001617525.2	filename		760457e9047614f09ece07b5f954def9481fd816bda73e2a010ca019120f8801
china/ncbi/GCA_001685375.1.fa.gz	GCA_001685375.1.fa.gz	public_accession_genome	531262	GCA_001685375.1	filename		bf02e024d3571b123fb2a78bd128936a7262f9b1d36c41deedd9bb16a74ff99e
china/ncbi/GCA_002075105.1.fa.gz	GCA_002075105.1.fa.gz	public_accession_genome	474370	GCA_002075105.1	filename		0b5cf7baa317147a8b21013d40831bc5914ec3062e24780d7b8b0461f24bc061
china/ncbi/GCA_002205775.2.fa.gz	GCA_002205775.2.fa.gz	public_accession_genome	955095	GCA_002205775.2	filename		9d9a81fc5ae116cb12f32091d9b7d3633e2f8b2a34c7f673be0827b3443b5726
china/ncbi/GCA_002946455.1.fa.gz	GCA_002946455.1.fa.gz	public_accession_genome	1059192	GCA_002946455.1	filename		79febb32ef4c8ac8820b00a99547ea1949501ff2a8a0cf9aa42dbe6614ddf188
china/ncbi/GCA_002960215.1.fa.gz	GCA_002960215.1.fa.gz	public_accession_genome	887581	GCA_002960215.1	filename		e61719320766496729c9b2f4116289a7d6f49e9865a2210f534f5c4f25a97961
china/ncbi/GCA_003433395.1.fa.gz	GCA_003433395.1.fa.gz	public_accession_genome	887620	GCA_003433395.1	filename		e164927671f9379f9c85db86372426d888efb85ddb53fbcf7f3dc7b54a359a96
china/ncbi/GCA_003709415.1.fa.gz	GCA_003709415.1.fa.gz	public_accession_genome	1005705	GCA_003709415.1	filename		f1c09bf1b1df8f754884ec1df55c83a77853831c20da698456330b6a37d0fec1
china/ncbi/GCA_003999605.1.fa.gz	GCA_003999605.1.fa.gz	public_accession_genome	890444	GCA_003999605.1	filename		4efcb50be9c7e7e26a4a566d6c3e6aee90763e74f2811cac808c2067209cfc9f
