outer_fold,seed,LOCAL_W10_median,TIGHTBLOCK50_median,GLOBAL_CONTIG_median,GLOBAL_gt_LOCAL,GLOBAL_gt_TIGHT,LOCAL_gt_TIGHT,full_expected_order
1,42,0.06694257259368896,0.011751711368560791,0.4311671257019043,True,True,True,True
1,142,0.06843608617782593,0.012239396572113037,0.4328160285949707,True,True,True,True
1,242,0.06772708892822266,0.0120849609375,0.4372383952140808,True,True,True,True
1,342,0.067746102809906,0.011662781238555908,0.4316585659980774,True,True,True,True
1,442,0.06847226619720459,0.012014210224151611,0.42781078815460205,True,True,True,True
2,42,0.0627068281173706,0.018669486045837402,0.37057727575302124,True,True,True,True
2,142,0.0636264979839325,0.018455564975738525,0.3690636157989502,True,True,True,True
2,242,0.061538517475128174,0.018463850021362305,0.3678601384162903,True,True,True,True
2,342,0.06215432286262512,0.01820388436317444,0.37039750814437866,True,True,True,True
2,442,0.06285595893859863,0.019058555364608765,0.37392181158065796,True,True,True,True
3,42,0.057640671730041504,0.013131797313690186,0.3931427001953125,True,True,True,True
3,142,0.05807042121887207,0.012736797332763672,0.40433233976364136,True,True,True,True
3,242,0.05725657939910889,0.01302194595336914,0.39114344120025635,True,True,True,True
3,342,0.0584070086479187,0.013018488883972168,0.38735735416412354,True,True,True,True
3,442,0.05798977613449097,0.01292717456817627,0.38960421085357666,True,True,True,True
4,42,0.05343425273895264,0.011017560958862305,0.36081117391586304,True,True,True,True
4,142,0.05302321910858154,0.011057078838348389,0.3755861520767212,True,True,True,True
4,242,0.05454140901565552,0.01171720027923584,0.35974979400634766,True,True,True,True
4,342,0.05416154861450195,0.011909127235412598,0.3636925220489502,True,True,True,True
4,442,0.05298006534576416,0.011624753475189209,0.36836695671081543,True,True,True,True
5,42,0.06258147954940796,0.013839274644851685,0.3439312279224396,True,True,True,True
5,142,0.06339100003242493,0.014291852712631226,0.3405430316925049,True,True,True,True
5,242,0.062203168869018555,0.01430550217628479,0.34715723991394043,True,True,True,True
5,342,0.06183218955993652,0.014215350151062012,0.3505028486251831,True,True,True,True
5,442,0.062004923820495605,0.014495849609375,0.3517935574054718,True,True,True,True
