strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000002,1,GLOBAL_CONTIG,42,1,0.74951171875,0.25048828125,0.7077969908714294,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,142,2,0.7006768584251404,0.2993231415748596,0.7737223505973816,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,242,3,0.7216545939445496,0.27834540605545044,0.7461170554161072,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,342,4,0.7596415877342224,0.2403584122657776,0.6933375000953674,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,442,5,0.7658056616783142,0.2341943383216858,0.6843892335891724,True,False,False,False
STRAIN_000025,1,GLOBAL_CONTIG,42,1,0.6090333461761475,0.39096665382385254,0.8842699527740479,True,False,False,False
STRAIN_000025,1,GLOBAL_CONTIG,142,2,0.5975433588027954,0.4024566411972046,0.8971695899963379,True,False,False,False
STRAIN_000025,1,GLOBAL_CONTIG,242,3,0.6003937721252441,0.39960622787475586,0.8939868211746216,True,False,False,False
STRAIN_000025,1,GLOBAL_CONTIG,342,4,0.5902248024940491,0.4097751975059509,0.9052903056144714,True,False,False,False
STRAIN_000025,1,GLOBAL_CONTIG,442,5,0.5983203053474426,0.4016796946525574,0.8963031768798828,True,False,False,False
STRAIN_000035,1,GLOBAL_CONTIG,42,1,0.6760526895523071,0.32394731044769287,0.8049190044403076,True,False,False,False
STRAIN_000035,1,GLOBAL_CONTIG,142,2,0.6536591649055481,0.3463408350944519,0.8322749733924866,True,False,False,False
STRAIN_000035,1,GLOBAL_CONTIG,242,3,0.643467903137207,0.35653209686279297,0.8444312214851379,True,False,False,False
STRAIN_000035,1,GLOBAL_CONTIG,342,4,0.6731302738189697,0.3268697261810303,0.8085416555404663,True,False,False,False
STRAIN_000035,1,GLOBAL_CONTIG,442,5,0.6680866479873657,0.3319133520126343,0.8147555589675903,True,False,False,False
STRAIN_000036,1,GLOBAL_CONTIG,42,1,0.6458789110183716,0.3541210889816284,0.8415713906288147,True,False,False,False
STRAIN_000036,1,GLOBAL_CONTIG,142,2,0.6732538342475891,0.3267461657524109,0.8083887696266174,True,False,False,False
STRAIN_000036,1,GLOBAL_CONTIG,242,3,0.6735245585441589,0.32647544145584106,0.8080538511276245,True,False,False,False
STRAIN_000036,1,GLOBAL_CONTIG,342,4,0.6873347759246826,0.3126652240753174,0.790778398513794,True,False,False,False
STRAIN_000036,1,GLOBAL_CONTIG,442,5,0.6853629946708679,0.3146370053291321,0.7932680249214172,True,False,False,False
STRAIN_000037,1,GLOBAL_CONTIG,42,1,0.7005817890167236,0.29941821098327637,0.7738451361656189,True,False,False,False
STRAIN_000037,1,GLOBAL_CONTIG,142,2,0.6906259059906006,0.3093740940093994,0.7866054177284241,True,False,False,False
STRAIN_000037,1,GLOBAL_CONTIG,242,3,0.6880328059196472,0.3119671940803528,0.789895236492157,True,False,False,False
STRAIN_000037,1,GLOBAL_CONTIG,342,4,0.7023648023605347,0.29763519763946533,0.7715376615524292,True,False,False,False
STRAIN_000037,1,GLOBAL_CONTIG,442,5,0.6992756128311157,0.3007243871688843,0.7755312919616699,True,False,False,False
STRAIN_000038,1,GLOBAL_CONTIG,42,1,0.6862165927886963,0.3137834072113037,0.7921910881996155,True,False,False,False
STRAIN_000038,1,GLOBAL_CONTIG,142,2,0.7147789597511292,0.28522104024887085,0.7552761435508728,True,False,False,False
STRAIN_000038,1,GLOBAL_CONTIG,242,3,0.7195886969566345,0.2804113030433655,0.748880922794342,True,False,False,False
STRAIN_000038,1,GLOBAL_CONTIG,342,4,0.7146393656730652,0.2853606343269348,0.7554609775543213,True,False,False,False
STRAIN_000038,1,GLOBAL_CONTIG,442,5,0.7012089490890503,0.2987910509109497,0.7730343341827393,True,False,False,False
STRAIN_000039,1,GLOBAL_CONTIG,42,1,0.678030788898468,0.321969211101532,0.8024577498435974,True,False,False,False
STRAIN_000039,1,GLOBAL_CONTIG,142,2,0.6923304796218872,0.3076695203781128,0.784435510635376,True,False,False,False
STRAIN_000039,1,GLOBAL_CONTIG,242,3,0.6722218990325928,0.3277781009674072,0.8096643090248108,True,False,False,False
STRAIN_000039,1,GLOBAL_CONTIG,342,4,0.6693816184997559,0.33061838150024414,0.8131646513938904,True,False,False,False
STRAIN_000039,1,GLOBAL_CONTIG,442,5,0.6652868986129761,0.3347131013870239,0.8181846737861633,True,False,False,False
STRAIN_000040,1,GLOBAL_CONTIG,42,1,0.6666395664215088,0.3333604335784912,0.8165298700332642,True,False,False,False
STRAIN_000040,1,GLOBAL_CONTIG,142,2,0.6298638582229614,0.3701361417770386,0.8603907823562622,True,False,False,False
STRAIN_000040,1,GLOBAL_CONTIG,242,3,0.6775758266448975,0.32242417335510254,0.8030244708061218,True,False,False,False
STRAIN_000040,1,GLOBAL_CONTIG,342,4,0.6640716791152954,0.3359283208847046,0.8196685910224915,True,False,False,False
STRAIN_000040,1,GLOBAL_CONTIG,442,5,0.6589661836624146,0.34103381633758545,0.825873851776123,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,42,1,0.7026282548904419,0.2973717451095581,0.7711961269378662,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,142,2,0.7102698087692261,0.2897301912307739,0.7612229585647583,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,242,3,0.6734294891357422,0.3265705108642578,0.8081713914871216,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,342,4,0.681984543800354,0.318015456199646,0.7975154519081116,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,442,5,0.6996772289276123,0.3003227710723877,0.775013267993927,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,42,1,0.6614176630973816,0.3385823369026184,0.822900116443634,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,142,2,0.6961240768432617,0.3038759231567383,0.7795843482017517,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,242,3,0.6804060935974121,0.3195939064025879,0.7994922399520874,True,False,False,False
