strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000002,1,LOCAL_W10,42,1,0.9479225873947144,0.052077412605285645,0.3227303624153137,True,False,False,False
STRAIN_000002,1,LOCAL_W10,142,2,0.950757622718811,0.049242377281188965,0.31382283568382263,True,False,False,False
STRAIN_000002,1,LOCAL_W10,242,3,0.9512828588485718,0.04871714115142822,0.3121447265148163,True,False,False,False
STRAIN_000002,1,LOCAL_W10,342,4,0.9416112899780273,0.058388710021972656,0.3417269289493561,True,False,False,False
STRAIN_000002,1,LOCAL_W10,442,5,0.9499091506004333,0.05009084939956665,0.3165149390697479,True,False,False,False
STRAIN_000025,1,LOCAL_W10,42,1,0.9306472539901733,0.06935274600982666,0.3724318742752075,True,False,False,False
STRAIN_000025,1,LOCAL_W10,142,2,0.9276043176651001,0.0723956823348999,0.3805146813392639,True,False,False,False
STRAIN_000025,1,LOCAL_W10,242,3,0.9254565834999084,0.07454341650009155,0.3861176669597626,True,False,False,False
STRAIN_000025,1,LOCAL_W10,342,4,0.9358120560646057,0.06418794393539429,0.35829588770866394,True,False,False,False
STRAIN_000025,1,LOCAL_W10,442,5,0.9371858835220337,0.06281411647796631,0.3544408082962036,True,False,False,False
STRAIN_000035,1,LOCAL_W10,42,1,0.9280321598052979,0.07196784019470215,0.3793884217739105,True,False,False,False
STRAIN_000035,1,LOCAL_W10,142,2,0.9400210380554199,0.05997896194458008,0.3463493585586548,True,False,False,False
STRAIN_000035,1,LOCAL_W10,242,3,0.9349110126495361,0.06508898735046387,0.36080169677734375,True,False,False,False
STRAIN_000035,1,LOCAL_W10,342,4,0.9316221475601196,0.06837785243988037,0.3698050081729889,True,False,False,False
STRAIN_000035,1,LOCAL_W10,442,5,0.9395284056663513,0.06047159433364868,0.3477689027786255,True,False,False,False
STRAIN_000036,1,LOCAL_W10,42,1,0.9264683723449707,0.0735316276550293,0.38348856568336487,True,False,False,False
STRAIN_000036,1,LOCAL_W10,142,2,0.9448645114898682,0.055135488510131836,0.33207082748413086,True,False,False,False
STRAIN_000036,1,LOCAL_W10,242,3,0.927893877029419,0.07210612297058105,0.3797529935836792,True,False,False,False
STRAIN_000036,1,LOCAL_W10,342,4,0.9328591823577881,0.06714081764221191,0.3664447069168091,True,False,False,False
STRAIN_000036,1,LOCAL_W10,442,5,0.9293386936187744,0.07066130638122559,0.37592893838882446,True,False,False,False
STRAIN_000037,1,LOCAL_W10,42,1,0.9238348007202148,0.07616519927978516,0.39029502868652344,True,False,False,False
STRAIN_000037,1,LOCAL_W10,142,2,0.9324036240577698,0.06759637594223022,0.3676854968070984,True,False,False,False
STRAIN_000037,1,LOCAL_W10,242,3,0.9218704104423523,0.0781295895576477,0.3952963948249817,True,False,False,False
STRAIN_000037,1,LOCAL_W10,342,4,0.9303755760192871,0.06962442398071289,0.37316063046455383,True,False,False,False
STRAIN_000037,1,LOCAL_W10,442,5,0.9292224645614624,0.0707775354385376,0.37623804807662964,True,False,False,False
STRAIN_000038,1,LOCAL_W10,42,1,0.912487268447876,0.08751273155212402,0.4183603525161743,True,False,False,False
STRAIN_000038,1,LOCAL_W10,142,2,0.9238753914833069,0.07612460851669312,0.39019128680229187,True,False,False,False
STRAIN_000038,1,LOCAL_W10,242,3,0.9211660623550415,0.0788339376449585,0.3970743417739868,True,False,False,False
STRAIN_000038,1,LOCAL_W10,342,4,0.934712827205658,0.06528717279434204,0.36135056614875793,True,False,False,False
STRAIN_000038,1,LOCAL_W10,442,5,0.9089637398719788,0.09103626012802124,0.42669957876205444,True,False,False,False
STRAIN_000039,1,LOCAL_W10,42,1,0.9301407337188721,0.06985926628112793,0.3737894594669342,True,False,False,False
STRAIN_000039,1,LOCAL_W10,142,2,0.9335810542106628,0.06641894578933716,0.3644695281982422,True,False,False,False
STRAIN_000039,1,LOCAL_W10,242,3,0.9346054196357727,0.0653945803642273,0.36164793372154236,True,False,False,False
STRAIN_000039,1,LOCAL_W10,342,4,0.9249207377433777,0.07507926225662231,0.3875029981136322,True,False,False,False
STRAIN_000039,1,LOCAL_W10,442,5,0.9298315048217773,0.07016849517822266,0.3746158182621002,True,False,False,False
STRAIN_000040,1,LOCAL_W10,42,1,0.9348822236061096,0.06511777639389038,0.3608816862106323,True,False,False,False
STRAIN_000040,1,LOCAL_W10,142,2,0.9258493185043335,0.0741506814956665,0.38509926199913025,True,False,False,False
STRAIN_000040,1,LOCAL_W10,242,3,0.9263264536857605,0.0736735463142395,0.3838581442832947,True,False,False,False
STRAIN_000040,1,LOCAL_W10,342,4,0.9179868698120117,0.08201313018798828,0.4050014019012451,True,False,False,False
STRAIN_000040,1,LOCAL_W10,442,5,0.923509418964386,0.07649058103561401,0.39112788438796997,True,False,False,False
STRAIN_000041,1,LOCAL_W10,42,1,0.9198591113090515,0.08014088869094849,0.4003520607948303,True,False,False,False
STRAIN_000041,1,LOCAL_W10,142,2,0.9342961311340332,0.0657038688659668,0.3625018894672394,True,False,False,False
STRAIN_000041,1,LOCAL_W10,242,3,0.9361928701400757,0.06380712985992432,0.3572314977645874,True,False,False,False
STRAIN_000041,1,LOCAL_W10,342,4,0.9339386224746704,0.06606137752532959,0.3634869456291199,True,False,False,False
STRAIN_000041,1,LOCAL_W10,442,5,0.9380306005477905,0.06196939945220947,0.3520492911338806,True,False,False,False
STRAIN_000042,1,LOCAL_W10,42,1,0.9304829835891724,0.06951701641082764,0.372872531414032,True,False,False,False
STRAIN_000042,1,LOCAL_W10,142,2,0.927725076675415,0.07227492332458496,0.3801971673965454,True,False,False,False
STRAIN_000042,1,LOCAL_W10,242,3,0.9279616475105286,0.07203835248947144,0.37957414984703064,True,False,False,False
STRAIN_000042,1,LOCAL_W10,342,4,0.9244908094406128,0.07550919055938721,0.38861075043678284,True,False,False,False
STRAIN_000042,1,LOCAL_W10,442,5,0.927376389503479,0.072623610496521,0.38111305236816406,True,False,False,False
STRAIN_000060,1,LOCAL_W10,42,1,0.9354194402694702,0.06458055973052979,0.3593900799751282,True,False,False,False
STRAIN_000060,1,LOCAL_W10,142,2,0.9475530982017517,0.05244690179824829,0.3238733410835266,True,False,False,False
STRAIN_000060,1,LOCAL_W10,242,3,0.9424648880958557,0.05753511190414429,0.3392201066017151,True,False,False,False
STRAIN_000060,1,LOCAL_W10,342,4,0.9384239912033081,0.061576008796691895,0.35093045234680176,True,False,False,False
STRAIN_000060,1,LOCAL_W10,442,5,0.9425473213195801,0.05745267868041992,0.33897724747657776,True,False,False,False
STRAIN_000066,1,LOCAL_W10,42,1,0.9277396202087402,0.07226037979125977,0.380158931016922,True,False,False,False
STRAIN_000066,1,LOCAL_W10,142,2,0.9338932037353516,0.06610679626464844,0.3636120557785034,True,False,False,False
STRAIN_000066,1,LOCAL_W10,242,3,0.9320166110992432,0.06798338890075684,0.3687366247177124,True,False,False,False
STRAIN_000066,1,LOCAL_W10,342,4,0.9315208196640015,0.06847918033599854,0.37007901072502136,True,False,False,False
STRAIN_000066,1,LOCAL_W10,442,5,0.9361586570739746,0.06384134292602539,0.35732701420783997,True,False,False,False
STRAIN_000092,1,LOCAL_W10,42,1,0.9277763366699219,0.07222366333007812,0.3800622224807739,True,False,False,False
STRAIN_000092,1,LOCAL_W10,142,2,0.9361990094184875,0.06380099058151245,0.3572141230106354,True,False,False,False
STRAIN_000092,1,LOCAL_W10,242,3,0.9299748539924622,0.07002514600753784,0.3742331266403198,True,False,False,False
STRAIN_000092,1,LOCAL_W10,342,4,0.9312828779220581,0.0687171220779419,0.37072139978408813,True,False,False,False
STRAIN_000092,1,LOCAL_W10,442,5,0.9323453307151794,0.06765466928482056,0.3678441047668457,True,False,False,False
STRAIN_000140,1,LOCAL_W10,42,1,0.9308112859725952,0.06918871402740479,0.37199124693870544,True,False,False,False
STRAIN_000140,1,LOCAL_W10,142,2,0.9270451068878174,0.07295489311218262,0.3819812834262848,True,False,False,False
STRAIN_000140,1,LOCAL_W10,242,3,0.921421468257904,0.07857853174209595,0.3964303731918335,True,False,False,False
STRAIN_000140,1,LOCAL_W10,342,4,0.9131212830543518,0.0868787169456482,0.41684210300445557,True,False,False,False
STRAIN_000140,1,LOCAL_W10,442,5,0.929134726524353,0.07086527347564697,0.3764708340167999,True,False,False,False
STRAIN_000159,1,LOCAL_W10,42,1,0.9413983225822449,0.05860167741775513,0.34234973788261414,True,False,False,False
STRAIN_000159,1,LOCAL_W10,142,2,0.9328851699829102,0.06711483001708984,0.36637377738952637,True,False,False,False
STRAIN_000159,1,LOCAL_W10,242,3,0.9182503819465637,0.08174961805343628,0.4043501913547516,True,False,False,False
STRAIN_000159,1,LOCAL_W10,342,4,0.9307363629341125,0.06926363706588745,0.3721924424171448,True,False,False,False
STRAIN_000159,1,LOCAL_W10,442,5,0.9358282089233398,0.06417179107666016,0.3582506775856018,True,False,False,False
STRAIN_000162,1,LOCAL_W10,42,1,0.9261938333511353,0.07380616664886475,0.38420355319976807,True,False,False,False
STRAIN_000162,1,LOCAL_W10,142,2,0.9360893964767456,0.0639106035232544,0.357521116733551,True,False,False,False
STRAIN_000162,1,LOCAL_W10,242,3,0.9332525134086609,0.06674748659133911,0.3653697073459625,True,False,False,False
STRAIN_000162,1,LOCAL_W10,342,4,0.9250723123550415,0.0749276876449585,0.3871115446090698,True,False,False,False
STRAIN_000162,1,LOCAL_W10,442,5,0.9301299452781677,0.06987005472183228,0.37381845712661743,True,False,False,False
STRAIN_000199,1,LOCAL_W10,42,1,0.9239493608474731,0.07605063915252686,0.3900018334388733,True,False,False,False
STRAIN_000199,1,LOCAL_W10,142,2,0.931944727897644,0.06805527210235596,0.3689316511154175,True,False,False,False
STRAIN_000199,1,LOCAL_W10,242,3,0.928814709186554,0.07118529081344604,0.377320259809494,True,False,False,False
STRAIN_000199,1,LOCAL_W10,342,4,0.93863844871521,0.06136155128479004,0.35031840205192566,True,False,False,False
STRAIN_000199,1,LOCAL_W10,442,5,0.9187302589416504,0.08126974105834961,0.403161883354187,True,False,False,False
STRAIN_000214,1,LOCAL_W10,42,1,0.9364049434661865,0.06359505653381348,0.35663729906082153,True,False,False,False
STRAIN_000214,1,LOCAL_W10,142,2,0.9324716329574585,0.0675283670425415,0.36750081181526184,True,False,False,False
STRAIN_000214,1,LOCAL_W10,242,3,0.9237629175186157,0.07623708248138428,0.39047932624816895,True,False,False,False
STRAIN_000214,1,LOCAL_W10,342,4,0.9250689744949341,0.07493102550506592,0.3871200978755951,True,False,False,False
STRAIN_000214,1,LOCAL_W10,442,5,0.9282037019729614,0.07179629802703857,0.37893614172935486,True,False,False,False
