strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000015,5,TIGHTBLOCK50,42,1,0.9902520775794983,0.009747922420501709,0.13962668180465698,True,False,False,False
STRAIN_000015,5,TIGHTBLOCK50,142,2,0.9902043342590332,0.009795665740966797,0.13996951282024384,True,False,False,False
STRAIN_000015,5,TIGHTBLOCK50,242,3,0.9885917901992798,0.011408209800720215,0.15105094015598297,True,False,False,False
STRAIN_000015,5,TIGHTBLOCK50,342,4,0.9893662929534912,0.010633707046508789,0.14583344757556915,True,False,False,False
STRAIN_000015,5,TIGHTBLOCK50,442,5,0.9882291555404663,0.011770844459533691,0.15343305468559265,True,False,False,False
STRAIN_000017,5,TIGHTBLOCK50,42,1,0.9887329339981079,0.01126706600189209,0.1501140594482422,True,False,False,False
STRAIN_000017,5,TIGHTBLOCK50,142,2,0.9882546067237854,0.0117453932762146,0.15326686203479767,True,False,False,False
STRAIN_000017,5,TIGHTBLOCK50,242,3,0.9901566505432129,0.00984334945678711,0.14030952751636505,True,False,False,False
STRAIN_000017,5,TIGHTBLOCK50,342,4,0.9903420209884644,0.009657979011535645,0.13898183405399323,True,False,False,False
STRAIN_000017,5,TIGHTBLOCK50,442,5,0.990311861038208,0.009688138961791992,0.13919883966445923,True,False,False,False
STRAIN_000028,5,TIGHTBLOCK50,42,1,0.9772968292236328,0.022703170776367188,0.21308767795562744,True,False,False,False
STRAIN_000028,5,TIGHTBLOCK50,142,2,0.9788750410079956,0.021124958992004395,0.2055477350950241,True,False,False,False
STRAIN_000028,5,TIGHTBLOCK50,242,3,0.9774532318115234,0.022546768188476562,0.2123519629240036,True,False,False,False
STRAIN_000028,5,TIGHTBLOCK50,342,4,0.9766409397125244,0.023359060287475586,0.21614354848861694,True,False,False,False
STRAIN_000028,5,TIGHTBLOCK50,442,5,0.9785330295562744,0.021466970443725586,0.20720520615577698,True,False,False,False
STRAIN_000029,5,TIGHTBLOCK50,42,1,0.990711510181427,0.009288489818572998,0.13629662990570068,True,False,False,False
