model,subset,N,Positive,Negative,Positive_rate,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC
GenoGramma,all_pairs,164302,72288,92014,0.43997029859648695,0.8609137917974027,0.8039284652533033,0.7707879392825406,0.7692877411231847,0.7315139197175942,0.7567922753430721,0.7817832069032973,0.7439384255544828,0.5368415881958664
GenoGramma,same_strand_only,123921,72288,51633,0.5833393855762946,0.7522897291223832,0.8039642807598499,0.6960967067728634,0.6839565350917906,0.7315139197175942,0.7567922753430721,0.611120794840509,0.7439384255544828,0.37079713339893366
CNN1D,all_pairs,164302,72288,92014,0.43997029859648695,0.7338915032524161,0.6888688168066626,0.6858833124368541,0.675361013079808,0.6608131649349841,0.5877185701637893,0.7630034559958268,0.6221262263874652,0.35671627126609895
CNN1D,same_strand_only,123921,72288,51633,0.5833393855762946,0.6573154110404049,0.7340819156163958,0.6119866689261707,0.6168407116889095,0.6991689294824324,0.5877185701637893,0.6459628532140298,0.6386176937010064,0.2304554135449335
BiGRU,all_pairs,164302,72288,92014,0.43997029859648695,0.8040378976873797,0.7353346621948238,0.7333020900536816,0.7309504217103229,0.6913830888581147,0.7113628818061088,0.7505379616145369,0.7012306958033614,0.46062686479177056
BiGRU,same_strand_only,123921,72288,51633,0.5833393855762946,0.7020421925941256,0.7544156938381913,0.6592183729956989,0.6487885623176537,0.7064763422542177,0.7113628818061088,0.5862142428291984,0.7089111913755549,0.29799967967406166
TransformerSmall,all_pairs,164302,72288,92014,0.43997029859648695,0.8537481802893505,0.7877616457778591,0.7669352777202956,0.7663062390480775,0.7235424858950248,0.7610668437361664,0.7715456343599887,0.7418304399123546,0.5302304286526863
TransformerSmall,same_strand_only,123921,72288,51633,0.5833393855762946,0.7431737087623486,0.788631790380323,0.6910047530281389,0.676991113654344,0.7235615177221016,0.7610668437361664,0.5929153835725215,0.7418404428173648,0.3583993275324091
MeanPool,all_pairs,164302,72288,92014,0.43997029859648695,0.844809028188211,0.7809234082236387,0.7619140363477012,0.7622710377266819,0.7140939250768079,0.7652445772465692,0.7592974982067946,0.7387849406359763,0.5215968013702489
MeanPool,same_strand_only,123921,72288,51633,0.5833393855762946,0.7397806808475389,0.7869014405117322,0.688777527618402,0.673482784817579,0.7192095169992849,0.7652445772465692,0.5817209923885887,0.7415132403503951,0.3525339885840307
