model,metric,valid_lineages,lineage_macro_mean,lineage_median,bootstrap_mean,bootstrap_CI_low,bootstrap_CI_high
GenoGramma,ROC_AUC,54,0.7509813106224882,0.7608756240381932,0.7508692180158331,0.7368252277698532,0.7645221286285625
GenoGramma,PR_AUC,54,0.8149601344614154,0.8214713585663547,0.8148153286457845,0.7987811244367373,0.829280176651938
GenoGramma,MCC,54,0.3558200381259275,0.37086157956118815,0.3556496828262063,0.33058406185420713,0.37998718234675416
TransformerSmall,ROC_AUC,54,0.7463822499572572,0.7522828874568268,0.7462804465377799,0.7316597720232793,0.7604834469094173
TransformerSmall,PR_AUC,54,0.8112862654590594,0.8196861924461412,0.8112338982384091,0.7944385046635991,0.8265549146660852
TransformerSmall,MCC,54,0.3438039165531278,0.34733936302530277,0.343744614087915,0.31807689412663515,0.36775867498008424
MeanPool,ROC_AUC,54,0.7385729609661311,0.7435392439582806,0.7385448226187844,0.7219344033965445,0.7545697908208594
MeanPool,PR_AUC,54,0.8042694174481314,0.8096482799398694,0.8042901436579301,0.7870445528130485,0.8202535555735091
MeanPool,MCC,54,0.3376306471415104,0.34803237320866376,0.337668083318963,0.3098764977335951,0.36607563717486813
BiGRU,ROC_AUC,54,0.7075345464221405,0.7084288999448474,0.707484019547705,0.6940799867734003,0.720629050196307
BiGRU,PR_AUC,54,0.7824917682732919,0.7852401809236048,0.7823519820096957,0.7652924663174312,0.7978472578982447
BiGRU,MCC,54,0.2872685843428612,0.28726753389853416,0.2872844301891793,0.26445784348159906,0.3103914459187824
CNN1D,ROC_AUC,54,0.6578965750200142,0.659848578307932,0.6579794930831752,0.6468640258792419,0.669035835934599
CNN1D,PR_AUC,54,0.7475564306257166,0.7505841490028601,0.7475296359700726,0.7319795438543923,0.7622329138339126
CNN1D,MCC,54,0.22077094992800414,0.22531605157387105,0.22070067009098465,0.20476193374704219,0.23679323762772875
