baseline,metric,paired_lineages,mean_delta_GenoGramma_minus_baseline,median_delta,CI_low,CI_high,bootstrap_probability_delta_gt_0,fraction_lineages_GenoGramma_gt_baseline
TransformerSmall,ROC_AUC,54,0.004599060665231052,0.0065984498588085305,-0.001135205979336113,0.010076507426892381,0.9412,0.6296296296296297
TransformerSmall,PR_AUC,54,0.0036738690023557664,0.002487627095427214,-0.0016233237653225016,0.0088022704375704,0.918,0.6111111111111112
TransformerSmall,MCC,54,0.012016121572799719,0.016796190175343353,-0.000294670420913193,0.023627562509115276,0.97,0.7222222222222222
MeanPool,ROC_AUC,54,0.012408349656357068,0.014092727775622538,0.006299928851809699,0.018219852095184886,1.0,0.6851851851851852
MeanPool,PR_AUC,54,0.010690717013283913,0.010936489316962728,0.005548052435585785,0.015675819167798716,1.0,0.6851851851851852
MeanPool,MCC,54,0.01818939098441714,0.0245750314733771,0.006317481654545744,0.03030224379647233,0.9988,0.7037037037037037
BiGRU,ROC_AUC,54,0.04344676420034778,0.04444475735123521,0.037261065084027656,0.04959041444077123,1.0,0.9444444444444444
BiGRU,PR_AUC,54,0.03246836618812335,0.033258936845111664,0.026828545030917063,0.03814945744787351,1.0,0.9259259259259259
BiGRU,MCC,54,0.06855145378306632,0.0647178989450703,0.05817814728698103,0.07912625917798369,1.0,0.9444444444444444
CNN1D,ROC_AUC,54,0.09308473560247409,0.0979910796652676,0.08519527217824013,0.10076935394694808,1.0,1.0
CNN1D,PR_AUC,54,0.06740370383569899,0.06788197477536811,0.060880505073973,0.07405548158150005,1.0,1.0
CNN1D,MCC,54,0.13504908819792333,0.14052610239021157,0.11939620161518504,0.1501618359211061,1.0,0.9814814814814815
