source,path,size_bytes,sha256
stage57C_comparison,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/08_stage57C_matched_comparison/57C_FINAL_matched_pairaware_comparison.csv,607,67fa4007af78109b6d18e896e8b015c525ba27a7285d4561c1b78c806cb405af
stage57C_deltas,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/08_stage57C_matched_comparison/57C_GenoGramma_vs_baseline_deltas.csv,637,f22f481f5da45ccad80231b47aae5f56165e8a03791fd01aa9e1cc3fe411594c
stage58A_summary,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/09_stage58A_strand_shortcut_audit/58A_all_vs_same_strand_model_summary.csv,2450,138e5779f46666167565154bb8f197622933f2aa9f07ae12fbe6c5f38b246db0
stage58A_strandmatch,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/09_stage58A_strand_shortcut_audit/58A_StrandMatch_baseline.csv,341,8be89c14ce189a4fba8916766c5f3e04d1ba4c506049da5954d9218fe2f6327a
stage58B_macro,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/10_stage58B_lineage_bootstrap/58B_equal_lineage_bootstrap_CI.csv,1832,124331823d3a53f7c5d1b7917d2f4853dbcc9864b61d96aae03a7fe518163cf7
stage58B_paired,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/10_stage58B_lineage_bootstrap/58B_paired_lineage_bootstrap_deltas.csv,1634,e89113521240545856c5f2365ace47d6447b4ee5c1e3c89bc76bd8462bd94609
stage59A_ablation,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/11_stage59A_768d_ablation/59A_FINAL_ablation_summary.csv,1304,5657451ec923aa010ce0763f4299c18b36ff8a68b877e641088a2c0ccad6a554
stage59A_increment,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/11_stage59A_768d_ablation/59A_component_increment_summary.csv,380,9e91459aa81b19b17cae402020690139878db9b094720b47d074c8543b38303e
stage59B_contrasts,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/12_stage59B_ablation_lineage_bootstrap/59B_paired_lineage_bootstrap_contrasts.csv,6518,41de3c5f94160377f65eec6005c0525bddc016a681f3028c9dfea988f687b209
stage59B_edge_focus,/root/autodl-tmp/axw/new_paper_data/10_genogramma_pairaware/12_stage59B_ablation_lineage_bootstrap/59B_CONTEXTUAL_EDGE_focus.csv,1931,3722cbce8ee3cf4066b1e153377ce172e2758b6a2ecc48461de37f2ed9079712
