outer_fold,strain_entity_id,species,nearclone_block,original_outer_fold,role
1,STRAIN_000004,Lacticaseibacillus casei,NC_0064,4,INNER_TRAIN
1,STRAIN_000005,Lacticaseibacillus casei,NC_0064,4,INNER_TRAIN
1,STRAIN_000006,Lacticaseibacillus casei,NC_0108,5,INNER_TRAIN
1,STRAIN_000007,Bifidobacterium longum subsp. infantis,NC_0018,5,INNER_TRAIN
1,STRAIN_000008,Bifidobacterium longum subsp. infantis,NC_0018,5,INNER_TRAIN
1,STRAIN_000009,Bifidobacterium longum subsp. infantis,NC_0018,5,INNER_TRAIN
1,STRAIN_000010,Bifidobacterium longum subsp. infantis,NC_0018,5,INNER_TRAIN
1,STRAIN_000011,Bifidobacterium longum subsp. infantis,NC_0018,5,INNER_TRAIN
1,STRAIN_000013,Bifidobacterium longum subsp. longum,NC_0035,4,INNER_TRAIN
1,STRAIN_000014,Bifidobacterium longum subsp. longum,NC_0035,4,INNER_TRAIN
1,STRAIN_000016,Lacticaseibacillus rhamnosus,NC_0023,4,INNER_TRAIN
1,STRAIN_000017,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000018,Bifidobacterium longum subsp. longum,NC_0027,5,INNER_TRAIN
1,STRAIN_000019,Bifidobacterium longum subsp. longum,NC_0027,5,INNER_TRAIN
1,STRAIN_000020,Bifidobacterium longum subsp. longum,NC_0027,5,INNER_TRAIN
1,STRAIN_000021,Bifidobacterium longum subsp. longum,NC_0027,5,INNER_TRAIN
1,STRAIN_000022,Bifidobacterium longum subsp. longum,NC_0035,4,INNER_TRAIN
1,STRAIN_000023,Bifidobacterium longum subsp. longum,NC_0109,5,INNER_TRAIN
1,STRAIN_000024,Bifidobacterium bifidum LMG 13195,NC_0110,5,INNER_TRAIN
1,STRAIN_000026,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000027,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000028,Lactiplantibacillus plantarum,NC_0111,4,INNER_TRAIN
1,STRAIN_000029,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000030,Bifidobacterium longum subsp. infantis,NC_0045,4,INNER_TRAIN
1,STRAIN_000032,Bifidobacterium animalis,NC_0113,5,INNER_TRAIN
1,STRAIN_000034,Bifidobacterium longum subsp. longum,NC_0114,4,INNER_TRAIN
1,STRAIN_000035,Lactiplantibacillus plantarum,NC_0066,4,INNER_TRAIN
1,STRAIN_000036,Lactiplantibacillus plantarum,NC_0067,5,INNER_TRAIN
1,STRAIN_000037,Lactiplantibacillus plantarum,NC_0046,4,INNER_TRAIN
1,STRAIN_000038,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000039,Lactiplantibacillus plantarum,NC_0009,5,INNER_TRAIN
1,STRAIN_000040,Lactiplantibacillus plantarum,NC_0115,3,INNER_TRAIN
1,STRAIN_000041,Lactiplantibacillus plantarum,NC_0009,5,INNER_TRAIN
1,STRAIN_000042,Lactiplantibacillus plantarum,NC_0009,5,INNER_TRAIN
1,STRAIN_000044,Lactobacillus gasseri,NC_0117,3,INNER_TRAIN
1,STRAIN_000045,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000046,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000047,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000048,Bifidobacterium longum subsp. infantis,NC_0045,4,INNER_TRAIN
1,STRAIN_000049,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000050,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000051,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000052,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000053,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000054,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000055,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000056,Lacticaseibacillus rhamnosus,NC_0005,5,INNER_TRAIN
1,STRAIN_000057,Lactococcus lactis subsp. lactis,NC_0118,5,INNER_TRAIN
1,STRAIN_000062,Bifidobacterium breve,NC_0037,5,INNER_TRAIN
1,STRAIN_000063,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000064,Lactococcus lactis,NC_0122,5,INNER_TRAIN
1,STRAIN_000067,Lacticaseibacillus rhamnosus,NC_0019,2,INNER_TRAIN
1,STRAIN_000068,Lactiplantibacillus plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000069,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000071,Lactobacillus acidophilus,NC_0124,4,INNER_TRAIN
1,STRAIN_000072,Lactobacillus acidophilus,NC_0125,5,INNER_TRAIN
1,STRAIN_000073,Lactococcus lactis,NC_0126,2,INNER_TRAIN
1,STRAIN_000077,Bifidobacterium longum,NC_0070,4,INNER_TRAIN
1,STRAIN_000078,Bifidobacterium longum subsp. longum,NC_0047,2,INNER_TRAIN
1,STRAIN_000079,Bifidobacterium longum subsp. infantis,NC_0129,5,INNER_TRAIN
1,STRAIN_000080,Lactococcus lactis,NC_0130,4,INNER_TRAIN
1,STRAIN_000081,Lactococcus lactis,NC_0048,5,INNER_TRAIN
1,STRAIN_000083,Limosilactobacillus reuteri,NC_0132,3,INNER_TRAIN
1,STRAIN_000085,Limosilactobacillus reuteri,NC_0134,5,INNER_TRAIN
1,STRAIN_000086,Limosilactobacillus reuteri,NC_0135,5,INNER_TRAIN
1,STRAIN_000087,Lactobacillus johnsonii,NC_0136,2,INNER_TRAIN
1,STRAIN_000090,Lacticaseibacillus rhamnosus DSM 20021 = JCM 1136 = NBRC 3425,NC_0015,3,INNER_TRAIN
1,STRAIN_000091,Lacticaseibacillus rhamnosus,NC_0005,5,INNER_TRAIN
1,STRAIN_000092,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000096,Escherichia coli str.,NC_0142,5,INNER_TRAIN
1,STRAIN_000097,Pseudomonas aeruginosa,NC_0143,4,INNER_TRAIN
1,STRAIN_000098,Lactococcus lactis subsp. lactis,NC_0016,4,INNER_TRAIN
1,STRAIN_000100,Bifidobacterium longum,NC_0145,2,INNER_TRAIN
1,STRAIN_000101,Lactobacillus johnsonii,NC_0146,2,INNER_TRAIN
1,STRAIN_000103,Bifidobacterium longum,NC_0148,4,INNER_TRAIN
1,STRAIN_000104,Bacillus subtilis subsp. subtilis str.,NC_0012,4,INNER_TRAIN
1,STRAIN_000105,Lactococcus cremoris subsp. cremoris,NC_0048,5,INNER_TRAIN
1,STRAIN_000106,Shouchella clausii,NC_0149,3,INNER_TRAIN
1,STRAIN_000108,Limosilactobacillus fermentum,NC_0028,3,INNER_TRAIN
1,STRAIN_000109,Bifidobacterium adolescentis,NC_0150,2,INNER_TRAIN
1,STRAIN_000111,Azospirillum sp.,NC_0152,5,INNER_TRAIN
1,STRAIN_000112,Lacticaseibacillus rhamnosus GG,NC_0015,3,INNER_TRAIN
1,STRAIN_000116,Cereibacter sphaeroides,NC_0154,5,INNER_TRAIN
1,STRAIN_000117,Frankia casuarinae,NC_0155,5,INNER_TRAIN
1,STRAIN_000120,Lactobacillus gasseri ATCC 33323 = JCM 1131,NC_0158,4,INNER_TRAIN
1,STRAIN_000121,Leuconostoc mesenteroides subsp. mesenteroides,NC_0159,4,INNER_TRAIN
1,STRAIN_000122,Levilactobacillus brevis,NC_0030,4,INNER_TRAIN
1,STRAIN_000123,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000124,Pediococcus pentosaceus,NC_0160,3,INNER_TRAIN
1,STRAIN_000126,Lactococcus cremoris subsp. cremoris,NC_0072,2,INNER_TRAIN
1,STRAIN_000127,Lactobacillus helveticus,NC_0161,3,INNER_TRAIN
1,STRAIN_000128,Enterobacter sp. 638,NC_0162,2,INNER_TRAIN
1,STRAIN_000131,Anoxybacillus flavithermus,NC_0164,3,INNER_TRAIN
1,STRAIN_000133,Opitutus terrae,NC_0165,3,INNER_TRAIN
1,STRAIN_000135,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,NC_0018,5,INNER_TRAIN
1,STRAIN_000136,Gluconacetobacter diazotrophicus PA1 5,NC_0167,2,INNER_TRAIN
1,STRAIN_000137,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000138,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000139,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000141,Micrococcus luteus NCTC 2665,NC_0168,2,INNER_TRAIN
1,STRAIN_000144,Lactococcus lactis subsp. lactis,NC_0074,2,INNER_TRAIN
1,STRAIN_000145,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000146,Aromatoleum aromaticum,NC_0170,5,INNER_TRAIN
1,STRAIN_000147,Bacteroides fragilis,NC_0171,5,INNER_TRAIN
1,STRAIN_000148,Erwinia tasmaniensis,NC_0172,5,INNER_TRAIN
1,STRAIN_000150,Lacticaseibacillus rhamnosus GG,NC_0015,3,INNER_TRAIN
1,STRAIN_000151,Lacticaseibacillus rhamnosus,NC_0005,5,INNER_TRAIN
1,STRAIN_000154,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,NC_0175,4,INNER_TRAIN
1,STRAIN_000155,Bifidobacterium longum subsp. longum,NC_0176,3,INNER_TRAIN
1,STRAIN_000156,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000157,Lactococcus cremoris subsp. cremoris,NC_0048,5,INNER_TRAIN
