strain_entity_id,outer_fold,n_genes,n_unique_families
STRAIN_000001,3,1936,1922
STRAIN_000002,1,3571,3552
STRAIN_000004,4,3099,3049
STRAIN_000005,4,3083,3022
STRAIN_000006,5,2347,2308
STRAIN_000007,5,2558,2499
STRAIN_000008,5,2579,2497
STRAIN_000009,5,2546,2494
STRAIN_000010,5,2555,2502
STRAIN_000011,5,2558,2501
STRAIN_000013,4,1815,1805
STRAIN_000014,4,1815,1803
STRAIN_000015,1,1944,1900
STRAIN_000016,4,2860,2757
STRAIN_000017,4,1920,1867
STRAIN_000018,5,2017,1998
STRAIN_000019,5,2020,1999
STRAIN_000020,5,2128,2106
STRAIN_000021,5,2162,2144
STRAIN_000022,4,1815,1801
STRAIN_000023,5,1810,1793
STRAIN_000024,5,1977,1961
STRAIN_000025,2,3191,3032
STRAIN_000026,2,2241,2204
STRAIN_000027,2,2232,2202
STRAIN_000028,4,3471,3379
STRAIN_000029,4,1856,1816
STRAIN_000030,4,2460,2401
STRAIN_000031,3,2269,2227
STRAIN_000033,1,2599,2476
STRAIN_000034,4,1972,1941
STRAIN_000035,4,3132,3064
STRAIN_000036,5,3069,3006
STRAIN_000037,4,3098,3042
STRAIN_000038,5,3591,3455
STRAIN_000039,5,2980,2909
STRAIN_000040,3,3167,3107
STRAIN_000041,5,3193,3091
STRAIN_000042,5,2977,2915
STRAIN_000044,3,1607,1587
STRAIN_000045,2,2235,2186
STRAIN_000046,2,2244,2187
STRAIN_000047,2,2237,2187
STRAIN_000048,4,2447,2395
STRAIN_000049,2,2240,2189
STRAIN_000050,2,2239,2189
STRAIN_000051,2,2243,2186
STRAIN_000052,2,2238,2188
STRAIN_000053,2,2242,2187
STRAIN_000054,2,2235,2185
STRAIN_000055,2,2243,2184
STRAIN_000056,5,2753,2724
STRAIN_000057,5,2773,2644
STRAIN_000060,2,3390,3202
STRAIN_000062,5,2030,2011
STRAIN_000063,4,2279,2227
STRAIN_000064,5,1949,1875
STRAIN_000066,2,3280,3222
STRAIN_000070,1,2997,2935
STRAIN_000071,4,2015,1988
STRAIN_000072,5,2193,2143
STRAIN_000073,2,1958,1922
STRAIN_000075,1,2115,2057
STRAIN_000077,4,1814,1802
STRAIN_000078,2,1915,1888
STRAIN_000079,5,2201,2145
STRAIN_000080,4,2373,2344
STRAIN_000081,5,2664,2596
STRAIN_000083,3,1968,1956
STRAIN_000086,5,2036,2014
STRAIN_000090,3,2683,2627
STRAIN_000091,5,2717,2682
STRAIN_000092,5,3218,3048
STRAIN_000095,3,2002,1985
STRAIN_000096,5,4319,4145
STRAIN_000097,4,5681,5554
STRAIN_000098,4,2383,2268
STRAIN_000099,3,6303,5996
STRAIN_000100,2,1833,1796
STRAIN_000101,2,1888,1838
STRAIN_000102,5,2106,2045
STRAIN_000103,4,1975,1926
STRAIN_000104,4,4226,4124
STRAIN_000105,5,2580,2430
STRAIN_000106,3,4304,4221
STRAIN_000107,4,2026,1926
STRAIN_000108,3,2094,1988
STRAIN_000109,2,1683,1664
STRAIN_000110,3,4810,4691
STRAIN_000111,5,6607,6111
STRAIN_000112,3,2826,2734
STRAIN_000113,1,8498,8069
STRAIN_000114,1,1899,1867
STRAIN_000115,1,1899,1873
STRAIN_000116,5,4351,4240
STRAIN_000117,5,4786,4559
STRAIN_000118,1,1837,1810
STRAIN_000119,1,1920,1827
STRAIN_000120,4,1808,1723
STRAIN_000121,4,2032,1974
STRAIN_000122,4,2283,2223
STRAIN_000123,4,1956,1917
STRAIN_000124,3,1752,1730
STRAIN_000125,1,2850,2727
STRAIN_000126,2,2717,2500
STRAIN_000127,3,2209,2029
STRAIN_000128,2,4411,4301
STRAIN_000129,4,1983,1887
STRAIN_000130,1,4835,4712
STRAIN_000131,3,2949,2855
STRAIN_000132,4,2708,2642
STRAIN_000133,3,4672,4524
STRAIN_000134,1,2190,2155
STRAIN_000135,5,2564,2486
STRAIN_000136,2,3614,3334
STRAIN_000137,2,1582,1568
STRAIN_000138,2,1568,1555
STRAIN_000139,2,1571,1558
STRAIN_000140,2,2985,2921
STRAIN_000141,2,2288,2223
STRAIN_000142,1,6295,6070
STRAIN_000143,1,2148,2110
STRAIN_000144,2,2552,2470
STRAIN_000145,2,1570,1556
STRAIN_000146,5,4512,4216
STRAIN_000147,5,4352,4188
STRAIN_000148,5,3721,3655
STRAIN_000149,1,3010,2895
STRAIN_000150,3,2832,2734
STRAIN_000151,5,2874,2805
STRAIN_000152,1,3273,3200
STRAIN_000153,1,1916,1827
STRAIN_000154,4,2318,2236
STRAIN_000155,3,2024,1967
STRAIN_000156,2,1568,1553
STRAIN_000157,5,2577,2425
STRAIN_000158,1,2189,2133
STRAIN_000159,3,3018,2957
STRAIN_000160,2,6298,6113
STRAIN_000161,1,2207,2188
STRAIN_000162,1,3087,2998
STRAIN_000163,3,2035,2001
STRAIN_000164,1,3964,3884
STRAIN_000165,4,4258,4154
STRAIN_000166,4,4280,4176
STRAIN_000167,5,1815,1811
STRAIN_000168,4,2920,2839
STRAIN_000169,5,1993,1972
STRAIN_000170,3,1836,1817
STRAIN_000171,2,1956,1937
STRAIN_000172,1,2282,2052
STRAIN_000173,4,1968,1933
STRAIN_000174,4,2023,1981
STRAIN_000175,3,1787,1777
STRAIN_000176,2,2296,2169
STRAIN_000177,3,2425,2163
STRAIN_000178,5,1830,1822
STRAIN_000179,2,1831,1804
STRAIN_000180,5,2173,2064
STRAIN_000181,4,2776,2678
STRAIN_000182,1,5899,5630
STRAIN_000183,5,2049,1936
STRAIN_000184,4,1941,1903
STRAIN_000185,4,4422,4320
STRAIN_000186,1,5158,4959
STRAIN_000187,4,2277,2113
STRAIN_000188,1,1935,1852
STRAIN_000189,4,2495,2370
STRAIN_000190,1,3080,2954
STRAIN_000191,1,3002,2874
STRAIN_000193,5,2504,2455
STRAIN_000194,1,4969,4843
STRAIN_000195,2,3568,3526
STRAIN_000196,3,1952,1918
STRAIN_000197,3,2006,1954
STRAIN_000198,3,4039,3932
STRAIN_000199,1,3131,3033
STRAIN_000200,2,1953,1932
STRAIN_000201,2,2438,2315
STRAIN_000202,1,1952,1911
STRAIN_000203,4,1349,1321
STRAIN_000204,2,2040,1980
STRAIN_000205,2,1570,1555
STRAIN_000206,2,1565,1552
STRAIN_000207,3,2115,2059
STRAIN_000208,5,2086,2064
STRAIN_000209,5,2755,2721
STRAIN_000210,2,3957,3871
STRAIN_000211,3,2713,2665
STRAIN_000212,2,2053,1953
STRAIN_000213,2,2701,2445
STRAIN_000214,3,3008,2941
STRAIN_000215,5,2222,2154
STRAIN_000216,3,1998,1959
STRAIN_000217,5,1558,1540
STRAIN_000218,5,5436,5300
STRAIN_000219,4,1948,1902
STRAIN_000220,2,1792,1785
STRAIN_000221,5,2559,2484
STRAIN_000222,2,1568,1555
STRAIN_000223,2,1566,1553
