strain_entity_id,outer_fold,control_type,replicate,seed,cosine_true_control,embedding_displacement,l2_distance,embedding_dimension,fold_matched_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000002,1,GLOBAL_CONTIG,1,42,0.7162989377975464,0.2837010622024536,0.7532609701156616,128,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,2,142,0.6695771813392639,0.3304228186607361,0.8129241466522217,128,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,3,242,0.6802345514297485,0.31976544857025146,0.7997068762779236,128,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,4,342,0.7501735687255859,0.24982643127441406,0.7068613767623901,128,True,False,False,False
STRAIN_000002,1,GLOBAL_CONTIG,5,442,0.700261116027832,0.29973888397216797,0.7742595672607422,128,True,False,False,False
STRAIN_000015,1,GLOBAL_CONTIG,1,42,0.5637729167938232,0.43622708320617676,0.9340525269508362,128,True,False,False,False
STRAIN_000015,1,GLOBAL_CONTIG,2,142,0.5477908849716187,0.45220911502838135,0.9510090351104736,128,True,False,False,False
STRAIN_000015,1,GLOBAL_CONTIG,3,242,0.5645729303359985,0.43542706966400146,0.9331957697868347,128,True,False,False,False
STRAIN_000015,1,GLOBAL_CONTIG,4,342,0.5446366667747498,0.45536333322525024,0.9543200135231018,128,True,False,False,False
STRAIN_000015,1,GLOBAL_CONTIG,5,442,0.5406625270843506,0.4593374729156494,0.9584754109382629,128,True,False,False,False
STRAIN_000033,1,GLOBAL_CONTIG,1,42,0.5326859354972839,0.46731406450271606,0.9667617082595825,128,True,False,False,False
STRAIN_000033,1,GLOBAL_CONTIG,2,142,0.5428287982940674,0.4571712017059326,0.95621258020401,128,True,False,False,False
STRAIN_000033,1,GLOBAL_CONTIG,3,242,0.5355499982833862,0.46445000171661377,0.9637945294380188,128,True,False,False,False
STRAIN_000033,1,GLOBAL_CONTIG,4,342,0.5230813026428223,0.47691869735717773,0.9766460657119751,128,True,False,False,False
STRAIN_000033,1,GLOBAL_CONTIG,5,442,0.532982587814331,0.46701741218566895,0.9664547443389893,128,True,False,False,False
STRAIN_000070,1,GLOBAL_CONTIG,1,42,0.5762066841125488,0.42379331588745117,0.9206446409225464,128,True,False,False,False
STRAIN_000070,1,GLOBAL_CONTIG,2,142,0.5747822523117065,0.42521774768829346,0.9221906065940857,128,True,False,False,False
STRAIN_000070,1,GLOBAL_CONTIG,3,242,0.538709282875061,0.46129071712493896,0.9605109095573425,128,True,False,False,False
STRAIN_000070,1,GLOBAL_CONTIG,4,342,0.5584098100662231,0.44159018993377686,0.9397767186164856,128,True,False,False,False
STRAIN_000070,1,GLOBAL_CONTIG,5,442,0.5737245082855225,0.42627549171447754,0.9233368039131165,128,True,False,False,False
STRAIN_000075,1,GLOBAL_CONTIG,1,42,0.686123251914978,0.313876748085022,0.7923089861869812,128,True,False,False,False
STRAIN_000075,1,GLOBAL_CONTIG,2,142,0.5686243772506714,0.4313756227493286,0.9288440942764282,128,True,False,False,False
STRAIN_000075,1,GLOBAL_CONTIG,3,242,0.769311785697937,0.230688214302063,0.6792470812797546,128,True,False,False,False
STRAIN_000075,1,GLOBAL_CONTIG,4,342,0.6585947275161743,0.3414052724838257,0.8263235092163086,128,True,False,False,False
STRAIN_000075,1,GLOBAL_CONTIG,5,442,0.6600344181060791,0.3399655818939209,0.8245794773101807,128,True,False,False,False
STRAIN_000113,1,GLOBAL_CONTIG,1,42,0.7636220455169678,0.23637795448303223,0.6875725388526917,128,True,False,False,False
STRAIN_000113,1,GLOBAL_CONTIG,2,142,0.7659955024719238,0.23400449752807617,0.6841118335723877,128,True,False,False,False
STRAIN_000113,1,GLOBAL_CONTIG,3,242,0.7814330458641052,0.21856695413589478,0.6611610054969788,128,True,False,False,False
STRAIN_000113,1,GLOBAL_CONTIG,4,342,0.7721956968307495,0.2278043031692505,0.67498779296875,128,True,False,False,False
