strain_entity_id,current_genome_key,primary_accession,gcf_accession,gca_accession,species,strain,taxon_main,taxon_key,assembly_level,culture_collection,isolation_source,isolation_host,isolation_country,isolation_sample_type,legacy_pdb_ids,legacy_genome_uids,culture_collection_ids,local_genome_files,local_genome_file_count,old_paper_count,old_evidence_count,old_clinical_count,old_animal_count,old_in_vitro_count,probiotic_source_tags,matched_evidence_rows_v3,matched_publications_v3,matched_functions_v3,clinical_evidence_v3,animal_evidence_v3,in_vitro_evidence_v3,has_strain_resolved_evidence_v3,registry_accession_candidates,accession_source_columns,identity_match_status,identity_match_method,matched_genome_path,matched_genome_file,matched_genome_accessions,matched_valid_fasta,matched_total_bp,matched_n50,matched_contigs
STRAIN_000001,GCA_000478525.1,GCA_000478525.1,,GCA_000478525.1,Bifidobacterium longum subsp. longum,D2957,longum,longum|longum,,,,,USA,,PDB_001069,Bifidobacterium longum subsp. longum||D2957,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000478525.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000478525.1,"GCA_000478525.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000478525.1.fa.gz,GCA_000478525.1.fa.gz,GCA_000478525.1,True,2330229,423575,13
STRAIN_000002,GCA_000604145.1,GCA_000604145.1,,GCA_000604145.1,Lactiplantibacillus plantarum,WHE 92,plantarum,plantarum,Contig,,,,,,PDB_000805,Lactiplantibacillus plantarum||WHE 92,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000604145.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_000604145.1,"GCA_000604145.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000604145.1.fa.gz,GCA_000604145.1.fa.gz,GCA_000604145.1,True,2928189,33159,186
STRAIN_000003,GCA_000708735.1,GCA_000708735.1,,GCA_000708735.1,Lactobacillus acidophilus,VKMV-2020D,acidophilus,acidophilus,Contig,,,,,,PDB_000801,Lactobacillus acidophilus||VKMV-2020D,VKMV2020D,G:\安雄伟论文\数据\genomes\ncbi\GCA_000708735.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCA_000708735.1,"GCA_000708735.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000708735.1.fa.gz,GCA_000708735.1.fa.gz,GCA_000708735.1,True,7264,287,25
STRAIN_000004,GCA_000736295.2,GCA_000736295.2,,GCA_000736295.2,Lacticaseibacillus casei,816,casei,casei,Scaffold,,,,,,PDB_000983,Lacticaseibacillus casei||816,,G:\安雄伟论文\数据\genomes\ncbi\.quarantine_20260804\repair_20260804\GCA_000736295.2.fa.gz | G:\安雄伟论文\数据\genomes\ncbi\GCA_000736295.2.fa.gz,2,20,20,0,0,0,,1,1,1,0,0,0,YES,GCA_000736295.2,"GCA_000736295.2:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000736295.2.fa.gz,GCA_000736295.2.fa.gz,GCA_000736295.2,True,3282860,43190,303
STRAIN_000005,GCA_000736295.3,GCA_000736295.3,,GCA_000736295.3,Lacticaseibacillus casei,174,casei,casei,Scaffold,,,,,,PDB_000997 | PDB_000998,Lacticaseibacillus casei||174 | Lacticaseibacillus casei||297,,G:\安雄伟论文\数据\genomes\ncbi\.quarantine_20260804\repair_20260804\GCA_000736295.3.fa.gz | G:\安雄伟论文\数据\genomes\ncbi\GCA_000736295.3.fa.gz,2,1,1,1,0,0,,1,1,1,0,0,0,YES,GCA_000736295.3,"GCA_000736295.3:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000736295.3.fa.gz,GCA_000736295.3.fa.gz,GCA_000736295.3,True,3272534,43190,297
STRAIN_000006,GCA_000736295.4,GCA_000736295.4,,GCA_000736295.4,Lacticaseibacillus casei,108,casei,casei,Scaffold,,,,,,PDB_000981 | PDB_000999,Lacticaseibacillus casei||108 | Lacticaseibacillus casei||620,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000736295.4.fa.gz,1,60,60,0,1,1,,14,7,2,0,2,3,YES,GCA_000736295.4,"GCA_000736295.4:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000736295.4.fa.gz,GCA_000736295.4.fa.gz,GCA_000736295.4,True,2727847,54129,108
STRAIN_000007,GCA_000825065.1,GCA_000825065.1,,GCA_000825065.1,Bifidobacterium longum subsp. infantis,BIC1401212621a,longum,longum|infantis,,,,,Switzerland,,PDB_001053,Bifidobacterium longum subsp. infantis||BIC1401212621a,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000825065.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000825065.1,"GCA_000825065.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000825065.1.fa.gz,GCA_000825065.1.fa.gz,GCA_000825065.1,True,2791569,101329,51
STRAIN_000008,GCA_000825085.1,GCA_000825085.1,,GCA_000825085.1,Bifidobacterium longum subsp. infantis,BIC1401212621b,longum,longum|infantis,,,,,Switzerland,,PDB_001054,Bifidobacterium longum subsp. infantis||BIC1401212621b,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000825085.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000825085.1,"GCA_000825085.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000825085.1.fa.gz,GCA_000825085.1.fa.gz,GCA_000825085.1,True,2821883,93689,54
STRAIN_000009,GCA_000825105.1,GCA_000825105.1,,GCA_000825105.1,Bifidobacterium longum subsp. infantis,BIB1401242951,longum,longum|infantis,,,,,Switzerland,,PDB_001050,Bifidobacterium longum subsp. infantis||BIB1401242951,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000825105.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000825105.1,"GCA_000825105.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000825105.1.fa.gz,GCA_000825105.1.fa.gz,GCA_000825105.1,True,2787528,109297,50
STRAIN_000010,GCA_000825125.1,GCA_000825125.1,,GCA_000825125.1,Bifidobacterium longum subsp. infantis,BIB1401272845a,longum,longum|infantis,,,,,Switzerland,,PDB_001051,Bifidobacterium longum subsp. infantis||BIB1401272845a,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000825125.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000825125.1,"GCA_000825125.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000825125.1.fa.gz,GCA_000825125.1.fa.gz,GCA_000825125.1,True,2791524,101948,50
