strain_entity_id,outer_fold,control_type,replicate,seed,cosine_true_control,embedding_displacement,l2_distance,embedding_dimension,fold_matched_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000002,1,TIGHTBLOCK50,1,42,0.987726092338562,0.012273907661437988,0.15667781233787537,128,True,False,False,False
STRAIN_000002,1,TIGHTBLOCK50,2,142,0.9845552444458008,0.015444755554199219,0.1757541000843048,128,True,False,False,False
STRAIN_000002,1,TIGHTBLOCK50,3,242,0.9863143563270569,0.013685643672943115,0.1654423475265503,128,True,False,False,False
STRAIN_000002,1,TIGHTBLOCK50,4,342,0.9873179197311401,0.012682080268859863,0.1592615246772766,128,True,False,False,False
STRAIN_000002,1,TIGHTBLOCK50,5,442,0.9853261709213257,0.014673829078674316,0.17131200432777405,128,True,False,False,False
STRAIN_000015,1,TIGHTBLOCK50,1,42,0.9914646744728088,0.008535325527191162,0.13065578043460846,128,True,False,False,False
STRAIN_000015,1,TIGHTBLOCK50,2,142,0.9898809790611267,0.010119020938873291,0.14226089417934418,128,True,False,False,False
STRAIN_000015,1,TIGHTBLOCK50,3,242,0.9891983270645142,0.01080167293548584,0.14698044955730438,128,True,False,False,False
STRAIN_000015,1,TIGHTBLOCK50,4,342,0.9910933971405029,0.00890660285949707,0.133466437458992,128,True,False,False,False
STRAIN_000015,1,TIGHTBLOCK50,5,442,0.9899297952651978,0.010070204734802246,0.14191676676273346,128,True,False,False,False
STRAIN_000033,1,TIGHTBLOCK50,1,42,0.9877339601516724,0.012266039848327637,0.1566268354654312,128,True,False,False,False
STRAIN_000033,1,TIGHTBLOCK50,2,142,0.9876960515975952,0.012303948402404785,0.15686891973018646,128,True,False,False,False
STRAIN_000033,1,TIGHTBLOCK50,3,242,0.9867421984672546,0.013257801532745361,0.16283582150936127,128,True,False,False,False
STRAIN_000033,1,TIGHTBLOCK50,4,342,0.9866933226585388,0.013306677341461182,0.16313596069812775,128,True,False,False,False
STRAIN_000033,1,TIGHTBLOCK50,5,442,0.9873679876327515,0.012632012367248535,0.15894636511802673,128,True,False,False,False
STRAIN_000070,1,TIGHTBLOCK50,1,42,0.9852041006088257,0.014795899391174316,0.17202256619930267,128,True,False,False,False
STRAIN_000070,1,TIGHTBLOCK50,2,142,0.9844189286231995,0.015581071376800537,0.17652775347232819,128,True,False,False,False
STRAIN_000070,1,TIGHTBLOCK50,3,242,0.9830538630485535,0.016946136951446533,0.1840982437133789,128,True,False,False,False
STRAIN_000070,1,TIGHTBLOCK50,4,342,0.9849257469177246,0.01507425308227539,0.1736331582069397,128,True,False,False,False
STRAIN_000070,1,TIGHTBLOCK50,5,442,0.9849156737327576,0.015084326267242432,0.1736908107995987,128,True,False,False,False
STRAIN_000075,1,TIGHTBLOCK50,1,42,0.9905979633331299,0.009402036666870117,0.13712765276432037,128,True,False,False,False
STRAIN_000075,1,TIGHTBLOCK50,2,142,0.9828872680664062,0.01711273193359375,0.18500123918056488,128,True,False,False,False
STRAIN_000075,1,TIGHTBLOCK50,3,242,0.9907139539718628,0.009286046028137207,0.1362796127796173,128,True,False,False,False
STRAIN_000075,1,TIGHTBLOCK50,4,342,0.9869627952575684,0.01303720474243164,0.16147565841674805,128,True,False,False,False
STRAIN_000075,1,TIGHTBLOCK50,5,442,0.9743800759315491,0.025619924068450928,0.22636213898658752,128,True,False,False,False
STRAIN_000113,1,TIGHTBLOCK50,1,42,0.9923760890960693,0.007623910903930664,0.12348228693008423,128,True,False,False,False
STRAIN_000113,1,TIGHTBLOCK50,2,142,0.9922526478767395,0.007747352123260498,0.12447728961706161,128,True,False,False,False
STRAIN_000113,1,TIGHTBLOCK50,3,242,0.9933963418006897,0.006603658199310303,0.11492274701595306,128,True,False,False,False
STRAIN_000113,1,TIGHTBLOCK50,4,342,0.9924962520599365,0.0075037479400634766,0.12250535935163498,128,True,False,False,False
STRAIN_000113,1,TIGHTBLOCK50,5,442,0.9927026033401489,0.007297396659851074,0.12080950289964676,128,True,False,False,False
STRAIN_000114,1,TIGHTBLOCK50,1,42,0.9853627681732178,0.014637231826782227,0.17109768092632294,128,True,False,False,False
STRAIN_000114,1,TIGHTBLOCK50,2,142,0.9847100973129272,0.015289902687072754,0.1748708188533783,128,True,False,False,False
STRAIN_000114,1,TIGHTBLOCK50,3,242,0.9868141412734985,0.013185858726501465,0.16239365935325623,128,True,False,False,False
STRAIN_000114,1,TIGHTBLOCK50,4,342,0.984988808631897,0.015011191368103027,0.17326997220516205,128,True,False,False,False
STRAIN_000114,1,TIGHTBLOCK50,5,442,0.9829845428466797,0.017015457153320312,0.18447484076023102,128,True,False,False,False
STRAIN_000115,1,TIGHTBLOCK50,1,42,0.9859211444854736,0.014078855514526367,0.16780290007591248,128,True,False,False,False
STRAIN_000115,1,TIGHTBLOCK50,2,142,0.9827459454536438,0.0172540545463562,0.18576370179653168,128,True,False,False,False
STRAIN_000115,1,TIGHTBLOCK50,3,242,0.9837117195129395,0.016288280487060547,0.1804889589548111,128,True,False,False,False
STRAIN_000115,1,TIGHTBLOCK50,4,342,0.9875212907791138,0.01247870922088623,0.15797856450080872,128,True,False,False,False
STRAIN_000115,1,TIGHTBLOCK50,5,442,0.9851803779602051,0.014819622039794922,0.1721602976322174,128,True,False,False,False
STRAIN_000118,1,TIGHTBLOCK50,1,42,0.9948930740356445,0.005106925964355469,0.10106319189071655,128,True,False,False,False
STRAIN_000118,1,TIGHTBLOCK50,2,142,0.9956796169281006,0.004320383071899414,0.09295569360256195,128,True,False,False,False
STRAIN_000118,1,TIGHTBLOCK50,3,242,0.9948859214782715,0.005114078521728516,0.10113497078418732,128,True,False,False,False
STRAIN_000118,1,TIGHTBLOCK50,4,342,0.9939631223678589,0.006036877632141113,0.10988061875104904,128,True,False,False,False
STRAIN_000118,1,TIGHTBLOCK50,5,442,0.9948376417160034,0.005162358283996582,0.10161012411117554,128,True,False,False,False
STRAIN_000119,1,TIGHTBLOCK50,1,42,0.9930939078330994,0.006906092166900635,0.11752499639987946,128,True,False,False,False
STRAIN_000119,1,TIGHTBLOCK50,2,142,0.9934162497520447,0.006583750247955322,0.11474932730197906,128,True,False,False,False
STRAIN_000119,1,TIGHTBLOCK50,3,242,0.9935821294784546,0.00641787052154541,0.11329497396945953,128,True,False,False,False
STRAIN_000119,1,TIGHTBLOCK50,4,342,0.9907146692276001,0.009285330772399902,0.1362743228673935,128,True,False,False,False
STRAIN_000119,1,TIGHTBLOCK50,5,442,0.9928617477416992,0.007138252258300781,0.11948429048061371,128,True,False,False,False
STRAIN_000125,1,TIGHTBLOCK50,1,42,0.9845227003097534,0.015477299690246582,0.1759389340877533,128,True,False,False,False
STRAIN_000125,1,TIGHTBLOCK50,2,142,0.9840331077575684,0.01596689224243164,0.17869985103607178,128,True,False,False,False
STRAIN_000125,1,TIGHTBLOCK50,3,242,0.9856597185134888,0.01434028148651123,0.16935282945632935,128,True,False,False,False
STRAIN_000125,1,TIGHTBLOCK50,4,342,0.9849672317504883,0.015032768249511719,0.1733940988779068,128,True,False,False,False
STRAIN_000125,1,TIGHTBLOCK50,5,442,0.9849157929420471,0.01508420705795288,0.17369019985198975,128,True,False,False,False
