strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason
STRAIN_000001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000001.fa.gz,2330229,13,491948,True,
STRAIN_000002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000002.fa.gz,2928189,186,140193,True,
STRAIN_000003,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000003.fa.gz,7264,25,440,False,NO_CONTIG_GE_500BP
STRAIN_000004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000004.fa.gz,3282860,303,185255,True,
STRAIN_000005,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000005.fa.gz,3272534,297,185255,True,
STRAIN_000006,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000006.fa.gz,2727847,108,185255,True,
STRAIN_000007,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000007.fa.gz,2791569,51,268373,True,
STRAIN_000008,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000008.fa.gz,2821883,54,268365,True,
STRAIN_000009,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000009.fa.gz,2787528,50,268309,True,
STRAIN_000010,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000010.fa.gz,2791524,50,268317,True,
STRAIN_000011,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000011.fa.gz,2786838,56,268365,True,
STRAIN_000012,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000012.fa.gz,2724032,921,55265,True,
STRAIN_000013,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000013.fa.gz,2233772,31,340870,True,
STRAIN_000014,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000014.fa.gz,2235579,36,195462,True,
STRAIN_000015,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000015.fa.gz,1949297,1,1949297,True,
STRAIN_000016,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000016.fa.gz,2971889,76,325792,True,
STRAIN_000017,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000017.fa.gz,2009973,1,2009973,True,
STRAIN_000018,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000018.fa.gz,2397171,13,540387,True,
STRAIN_000019,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000019.fa.gz,2398181,21,527990,True,
STRAIN_000020,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000020.fa.gz,2448259,174,327963,True,
STRAIN_000021,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000021.fa.gz,2417279,170,197754,True,
STRAIN_000022,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000022.fa.gz,2237293,17,615733,True,
STRAIN_000023,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000023.fa.gz,2235932,28,731416,True,
STRAIN_000024,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000024.fa.gz,2261666,1,2261666,True,
STRAIN_000025,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000025.fa.gz,3267387,5,3096468,True,
STRAIN_000026,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000026.fa.gz,2573636,29,495401,True,
STRAIN_000027,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000027.fa.gz,2568669,67,291975,True,
STRAIN_000028,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000028.fa.gz,3685082,2,3612790,True,
STRAIN_000029,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000029.fa.gz,1965390,19,676265,True,
STRAIN_000030,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000030.fa.gz,2770240,1,2770240,True,
STRAIN_000031,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000031.fa.gz,2318552,42,277638,True,
STRAIN_000032,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000032.fa.gz,1746296,168,71795,True,
STRAIN_000033,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000033.fa.gz,2483413,7,2096356,True,
STRAIN_000034,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000034.fa.gz,2362026,1,2362026,True,
STRAIN_000035,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000035.fa.gz,3304830,45,533836,True,
STRAIN_000036,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000036.fa.gz,3269344,34,866323,True,
STRAIN_000037,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000037.fa.gz,3258425,100,315737,True,
STRAIN_000038,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000038.fa.gz,3574108,230,267423,True,
STRAIN_000039,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000039.fa.gz,3139331,76,675170,True,
STRAIN_000040,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000040.fa.gz,3281998,111,263633,True,
STRAIN_000041,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000041.fa.gz,3256146,202,231111,True,
