strain_entity_id,outer_fold,embedding_row
STRAIN_000002,1,0
STRAIN_000015,1,1
STRAIN_000033,1,2
STRAIN_000070,1,3
STRAIN_000075,1,4
STRAIN_000113,1,5
STRAIN_000114,1,6
STRAIN_000115,1,7
STRAIN_000118,1,8
STRAIN_000119,1,9
STRAIN_000125,1,10
STRAIN_000130,1,11
STRAIN_000134,1,12
STRAIN_000142,1,13
STRAIN_000143,1,14
STRAIN_000149,1,15
STRAIN_000152,1,16
STRAIN_000153,1,17
STRAIN_000158,1,18
STRAIN_000161,1,19
STRAIN_000162,1,20
STRAIN_000164,1,21
STRAIN_000172,1,22
STRAIN_000182,1,23
STRAIN_000186,1,24
STRAIN_000188,1,25
STRAIN_000190,1,26
STRAIN_000191,1,27
STRAIN_000194,1,28
STRAIN_000199,1,29
STRAIN_000202,1,30
STRAIN_000230,1,31
STRAIN_000231,1,32
STRAIN_000239,1,33
STRAIN_000243,1,34
STRAIN_000256,1,35
STRAIN_000260,1,36
STRAIN_000263,1,37
STRAIN_000267,1,38
STRAIN_000271,1,39
STRAIN_000276,1,40
STRAIN_000287,1,41
STRAIN_000302,1,42
STRAIN_000305,1,43
STRAIN_000308,1,44
STRAIN_000321,1,45
STRAIN_000324,1,46
STRAIN_000325,1,47
STRAIN_000330,1,48
STRAIN_000333,1,49
STRAIN_000335,1,50
STRAIN_000337,1,51
STRAIN_000342,1,52
STRAIN_000345,1,53
STRAIN_000347,1,54
STRAIN_000353,1,55
STRAIN_000354,1,56
STRAIN_000355,1,57
STRAIN_000358,1,58
STRAIN_000369,1,59
STRAIN_000372,1,60
STRAIN_000373,1,61
STRAIN_000379,1,62
STRAIN_000380,1,63
STRAIN_000385,1,64
STRAIN_000387,1,65
STRAIN_000389,1,66
STRAIN_000390,1,67
STRAIN_000392,1,68
STRAIN_000396,1,69
STRAIN_000397,1,70
STRAIN_000398,1,71
STRAIN_000399,1,72
STRAIN_000400,1,73
STRAIN_000410,1,74
STRAIN_000411,1,75
STRAIN_000418,1,76
STRAIN_000422,1,77
STRAIN_000429,1,78
STRAIN_000432,1,79
STRAIN_000438,1,80
STRAIN_000445,1,81
STRAIN_000471,1,82
STRAIN_000476,1,83
STRAIN_000480,1,84
STRAIN_000490,1,85
STRAIN_000495,1,86
STRAIN_000497,1,87
STRAIN_000505,1,88
STRAIN_000508,1,89
STRAIN_000516,1,90
STRAIN_000519,1,91
STRAIN_000528,1,92
STRAIN_000530,1,93
STRAIN_000531,1,94
STRAIN_000532,1,95
STRAIN_000536,1,96
STRAIN_000537,1,97
STRAIN_000555,1,98
STRAIN_000563,1,99
STRAIN_000564,1,100
STRAIN_000566,1,101
STRAIN_000568,1,102
STRAIN_000571,1,103
STRAIN_000573,1,104
STRAIN_000574,1,105
STRAIN_000576,1,106
STRAIN_000579,1,107
STRAIN_000590,1,108
STRAIN_000606,1,109
STRAIN_000608,1,110
STRAIN_000609,1,111
STRAIN_000610,1,112
STRAIN_000611,1,113
STRAIN_000612,1,114
STRAIN_000616,1,115
STRAIN_000631,1,116
STRAIN_000644,1,117
STRAIN_000646,1,118
STRAIN_000656,1,119
STRAIN_000660,1,120
STRAIN_000662,1,121
STRAIN_000673,1,122
STRAIN_000676,1,123
STRAIN_000679,1,124
STRAIN_000682,1,125
STRAIN_000684,1,126
STRAIN_000686,1,127
STRAIN_000691,1,128
STRAIN_000694,1,129
STRAIN_000701,1,130
STRAIN_000712,1,131
STRAIN_000714,1,132
STRAIN_000716,1,133
STRAIN_000722,1,134
STRAIN_000724,1,135
STRAIN_000727,1,136
STRAIN_000731,1,137
STRAIN_000734,1,138
STRAIN_000739,1,139
STRAIN_000742,1,140
STRAIN_000746,1,141
STRAIN_000753,1,142
STRAIN_000759,1,143
STRAIN_000760,1,144
STRAIN_000763,1,145
STRAIN_000765,1,146
STRAIN_000781,1,147
STRAIN_000786,1,148
STRAIN_000788,1,149
STRAIN_000789,1,150
STRAIN_000790,1,151
STRAIN_000798,1,152
STRAIN_000799,1,153
STRAIN_000804,1,154
STRAIN_000805,1,155
STRAIN_000810,1,156
STRAIN_000816,1,157
STRAIN_000817,1,158
STRAIN_000822,1,159
STRAIN_000829,1,160
STRAIN_000838,1,161
STRAIN_000845,1,162
STRAIN_000846,1,163
STRAIN_000849,1,164
STRAIN_000851,1,165
STRAIN_000854,1,166
STRAIN_000862,1,167
STRAIN_000864,1,168
STRAIN_000865,1,169
STRAIN_000867,1,170
STRAIN_000876,1,171
STRAIN_000877,1,172
STRAIN_000888,1,173
STRAIN_000899,1,174
STRAIN_000913,1,175
STRAIN_000917,1,176
STRAIN_000920,1,177
STRAIN_000924,1,178
STRAIN_000936,1,179
STRAIN_000937,1,180
STRAIN_000949,1,181
STRAIN_000955,1,182
STRAIN_000967,1,183
STRAIN_000970,1,184
STRAIN_000975,1,185
STRAIN_000991,1,186
STRAIN_000993,1,187
STRAIN_000994,1,188
STRAIN_001006,1,189
STRAIN_001007,1,190
STRAIN_001009,1,191
STRAIN_001013,1,192
STRAIN_001019,1,193
STRAIN_001021,1,194
