genome_file,genome_path,file_size_bytes,accession_from_filename,accession_base,valid_fasta,contigs,total_bp,n50,largest_contig,smallest_contig,gc_percent,n_percent,error,all_path_accessions,all_path_accession_bases,n_path_accessions
1678.111.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/1678.111.fa.gz,808298,,,True,1,2615717,2615717,2615717,2615717,59.22,0.0,,,,0
43380_2_239.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/43380_2_239.fa.gz,868622,,,True,49,2794978,148879,457922,215,59.8255,0.0,,,,0
43380_2_241.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/43380_2_241.fa.gz,801370,,,True,29,2575650,179623,637060,223,59.4002,0.0,,,,0
Bifidobacterium_animalis_Probio-M8.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_animalis_Probio-M8.fa.gz,576541,,,True,1,1937197,1937197,1937197,1937197,60.4909,0.0,,,,0
Bifidobacterium_animalis_subsp._lactis_ProSci-246.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_animalis_subsp._lactis_ProSci-246.fa.gz,593650,,,True,1,1951457,1951457,1951457,1951457,60.4952,0.0,,,,0
Bifidobacterium_animalis_subsp._lactis_V9.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_animalis_subsp._lactis_V9.fa.gz,590497,,,True,1,1944050,1944050,1944050,1944050,60.4884,0.0,,,,0
Bifidobacterium_animalis_subsp._lactis__BB-69.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_animalis_subsp._lactis__BB-69.fa.gz,601810,,,True,1,1948556,1948556,1948556,1948556,60.4818,0.0,,,,0
Bifidobacterium_animalis_subsp._lactis__Bbm-19.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_animalis_subsp._lactis__Bbm-19.fa.gz,593712,,,True,1,1946490,1946490,1946490,1946490,60.4934,0.0,,,,0
Bifidobacterium_breve_BX-18.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_breve_BX-18.fa.gz,602579,,,True,1,1951370,1951370,1951370,1951370,60.4856,0.0,,,,0
Bifidobacterium_infantis_B8762.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Bifidobacterium_infantis_B8762.fa.gz,826602,,,True,1,2642564,2642564,2642564,2642564,60.0006,0.0,,,,0
Lacticaseibacillus_casei_Zhang.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lacticaseibacillus_casei_Zhang.fa.gz,893625,,,True,2,2898456,2861969,2861969,36487,46.4308,0.0,,,,0
Lacticaseibacillus_paracasei_PC-01.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lacticaseibacillus_paracasei_PC-01.fa.gz,875521,,,True,1,2829327,2829327,2829327,2829327,46.6405,0.0,,,,0
Lacticaseibacillus_rhamnosus_Probio-M9.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lacticaseibacillus_rhamnosus_Probio-M9.fa.gz,899167,,,True,1,2987632,2987632,2987632,2987632,46.7646,3.3e-05,,,,0
Lactiplantibacillus_plantarum_P-8.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lactiplantibacillus_plantarum_P-8.fa.gz,1001888,,,True,8,3246630,3035719,3035719,8686,44.5546,0.0,,,,0
Lactiplantibacillus_plantarum_P9.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lactiplantibacillus_plantarum_P9.fa.gz,1036344,,,True,11,3315651,3016749,3016749,1458,44.315,0.0,,,,0
Lactobacillus_acidophilus_LA-06.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Lactobacillus_acidophilus_LA-06.fa.gz,682231,,,True,1,2211372,2211372,2211372,2211372,34.9951,0.0,,,,0
Limosilactobacillus_fermentum_UP-1.fa.gz,/root/autodl-tmp/axw/genomes/china/keylab/Limosilactobacillus_fermentum_UP-1.fa.gz,710478,,,True,2,2295467,2253013,2253013,42454,50.7702,0.0,,,,0
GCA_000003135.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000003135.1.fa.gz,703237,GCA_000003135.1,GCA_000003135,True,114,2396359,323391,630786,200,60.2526,0.980696,,GCA_000003135.1,GCA_000003135,1
GCA_000005845.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000005845.2.fa.gz,1379898,GCA_000005845.2,GCA_000005845,True,1,4641652,4641652,4641652,4641652,50.7907,0.0,,GCA_000005845.2,GCA_000005845,1
GCA_000006765.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006765.1.fa.gz,1787218,GCA_000006765.1,GCA_000006765,True,1,6264404,6264404,6264404,6264404,66.5557,0.0,,GCA_000006765.1,GCA_000006765,1
GCA_000006865.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006865.1.fa.gz,689890,GCA_000006865.1,GCA_000006865,True,1,2365589,2365589,2365589,2365589,35.3294,0.0,,GCA_000006865.1,GCA_000006865,1
GCA_000006965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006965.1.fa.gz,1956420,GCA_000006965.1,GCA_000006965,True,3,6691694,3654135,3654135,1354226,62.1741,0.000149,,GCA_000006965.1,GCA_000006965,1
GCA_000007525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000007525.1.fa.gz,665415,GCA_000007525.1,GCA_000007525,True,2,2260266,2256640,2256640,3626,60.1273,0.0,,GCA_000007525.1,GCA_000007525,1
GCA_000008065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008065.1.fa.gz,578294,GCA_000008065.1,GCA_000008065,True,1,1992676,1992676,1992676,1992676,34.6112,0.0,,GCA_000008065.1,GCA_000008065,1
GCA_000008925.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008925.1.fa.gz,619821,GCA_000008925.1,GCA_000008925,True,4,2133977,1827111,1827111,20417,33.0405,0.0,,GCA_000008925.1,GCA_000008925,1
GCA_000008945.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008945.1.fa.gz,702571,GCA_000008945.1,GCA_000008945,True,3,2389526,2375792,2375792,3661,60.1639,0.0,,GCA_000008945.1,GCA_000008945,1
GCA_000009045.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009045.1.fa.gz,1248416,GCA_000009045.1,GCA_000009045,True,1,4215606,4215606,4215606,4215606,43.5144,0.0,,GCA_000009045.1,GCA_000009045,1
GCA_000009425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009425.1.fa.gz,739639,GCA_000009425.1,GCA_000009425,True,1,2529478,2529478,2529478,2529478,35.7456,0.0,,GCA_000009425.1,GCA_000009425,1
GCA_000009825.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009825.1.fa.gz,1280535,GCA_000009825.1,GCA_000009825,True,1,4303871,4303871,4303871,4303871,44.7533,0.0,,GCA_000009825.1,GCA_000009825,1
GCA_000010005.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010005.1.fa.gz,603714,GCA_000010005.1,GCA_000010005,True,1,2039414,2039414,2039414,2039414,38.8788,0.0,,GCA_000010005.1,GCA_000010005,1
GCA_000010145.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010145.1.fa.gz,620733,GCA_000010145.1,GCA_000010145,True,1,2098685,2098685,2098685,2098685,51.4691,0.0,,GCA_000010145.1,GCA_000010145,1
GCA_000010425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010425.1.fa.gz,614061,GCA_000010425.1,GCA_000010425,True,1,2089645,2089645,2089645,2089645,59.1843,4.8e-05,,GCA_000010425.1,GCA_000010425,1
GCA_000010525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010525.1.fa.gz,1535425,GCA_000010525.1,GCA_000010525,True,1,5369772,5369772,5369772,5369772,67.319,0.0,,GCA_000010525.1,GCA_000010525,1
GCA_000010725.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010725.1.fa.gz,2157102,GCA_000010725.1,GCA_000010725,True,7,7599738,1455109,3311395,261596,67.6128,0.0,,GCA_000010725.1,GCA_000010725,1
GCA_000011045.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011045.1.fa.gz,892297,GCA_000011045.1,GCA_000011045,True,1,3005051,3005051,3005051,3005051,46.6919,0.0,,GCA_000011045.1,GCA_000011045,1
GCA_000011365.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011365.1.fa.gz,2632164,GCA_000011365.1,GCA_000011365,True,1,9105828,9105828,9105828,9105828,64.0594,0.0,,GCA_000011365.1,GCA_000011365,1
GCA_000011825.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011825.1.fa.gz,531548,GCA_000011825.1,GCA_000011825,True,1,1796846,1796846,1796846,1796846,39.0917,0.0,,GCA_000011825.1,GCA_000011825,1
GCA_000011845.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011845.1.fa.gz,531458,GCA_000011845.1,GCA_000011845,True,1,1796226,1796226,1796226,1796226,39.0814,0.0,,GCA_000011845.1,GCA_000011845,1
GCA_000012905.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000012905.2.fa.gz,1303712,GCA_000012905.2,GCA_000012905,True,7,4602977,3188524,3188524,37100,68.7909,0.002194,,GCA_000012905.2,GCA_000012905,1
GCA_000013345.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000013345.1.fa.gz,1538577,GCA_000013345.1,GCA_000013345,True,1,5433628,5433628,5433628,5433628,70.0788,0.0,,GCA_000013345.1,GCA_000013345,1
GCA_000014385.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014385.1.fa.gz,524701,GCA_000014385.1,GCA_000014385,True,1,1780517,1780517,1780517,1780517,37.8889,0.0,,GCA_000014385.1,GCA_000014385,1
GCA_000014405.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014405.1.fa.gz,547750,GCA_000014405.1,GCA_000014405,True,1,1856951,1856951,1856951,1856951,49.6863,0.0,,GCA_000014405.1,GCA_000014405,1
GCA_000014425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014425.1.fa.gz,551377,GCA_000014425.1,GCA_000014425,True,1,1894360,1894360,1894360,1894360,35.2596,0.0,,GCA_000014425.1,GCA_000014425,1
GCA_000014445.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014445.1.fa.gz,614094,GCA_000014445.1,GCA_000014445,True,2,2075763,2038396,2038396,37367,37.6686,0.0,,GCA_000014445.1,GCA_000014445,1
GCA_000014465.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014465.1.fa.gz,699947,GCA_000014465.1,GCA_000014465,True,3,2340228,2291220,2291220,13413,46.0582,0.0,,GCA_000014465.1,GCA_000014465,1
GCA_000014485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014485.1.fa.gz,551424,GCA_000014485.1,GCA_000014485,True,3,1864178,1856368,1856368,3361,39.069,0.0,,GCA_000014485.1,GCA_000014485,1
GCA_000014505.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014505.1.fa.gz,542024,GCA_000014505.1,GCA_000014505,True,1,1832387,1832387,1832387,1832387,37.3578,0.0,,GCA_000014505.1,GCA_000014505,1
GCA_000014525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014525.1.fa.gz,867615,GCA_000014525.1,GCA_000014525,True,2,2924325,2895264,2895264,29061,46.5752,0.0,,GCA_000014525.1,GCA_000014525,1
GCA_000014545.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014545.1.fa.gz,759051,GCA_000014545.1,GCA_000014545,True,6,2598348,2438589,2438589,9554,35.7839,0.0,,GCA_000014545.1,GCA_000014545,1
GCA_000015385.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000015385.1.fa.gz,607478,GCA_000015385.1,GCA_000015385,True,1,2080931,2080931,2080931,2080931,37.077,0.0,,GCA_000015385.1,GCA_000015385,1
GCA_000016325.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000016325.1.fa.gz,1390566,GCA_000016325.1,GCA_000016325,True,2,4676461,4518712,4518712,157749,52.9004,0.0,,GCA_000016325.1,GCA_000016325,1
GCA_000016825.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000016825.1.fa.gz,591892,GCA_000016825.1,GCA_000016825,True,1,1999618,1999618,1999618,1999618,38.8726,0.0,,GCA_000016825.1,GCA_000016825,1
GCA_000017965.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000017965.1.fa.gz,1424609,GCA_000017965.1,GCA_000017965,True,2,4817463,4639821,4639821,177642,37.1349,0.0,,GCA_000017965.1,GCA_000017965,1
GCA_000019045.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000019045.1.fa.gz,834965,GCA_000019045.1,GCA_000019045,True,1,2846746,2846746,2846746,2846746,41.7768,0.0,,GCA_000019045.1,GCA_000019045,1
GCA_000019245.3.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000019245.3.fa.gz,862966,GCA_000019245.3,GCA_000019245,True,2,2898456,2861969,2861969,36487,46.4308,0.0,,GCA_000019245.3,GCA_000019245,1
GCA_000019965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000019965.1.fa.gz,1719015,GCA_000019965.1,GCA_000019965,True,1,5957605,5957605,5957605,5957605,65.3411,0.0,,GCA_000019965.1,GCA_000019965,1
GCA_000020225.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000020225.1.fa.gz,783592,GCA_000020225.1,GCA_000020225,True,1,2664102,2664102,2664102,2664102,55.7624,0.0,,GCA_000020225.1,GCA_000020225,1
GCA_000020425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000020425.1.fa.gz,832891,GCA_000020425.1,GCA_000020425,True,1,2832748,2832748,2832748,2832748,59.8631,0.0,,GCA_000020425.1,GCA_000020425,1
GCA_000021325.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000021325.1.fa.gz,1120365,GCA_000021325.1,GCA_000021325,True,2,3914947,3887492,3887492,27455,66.323,0.0,,GCA_000021325.1,GCA_000021325,1
GCA_000021425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000021425.1.fa.gz,566648,GCA_000021425.1,GCA_000021425,True,1,1933695,1933695,1933695,1933695,60.4904,0.0,,GCA_000021425.1,GCA_000021425,1
GCA_000022705.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000022705.1.fa.gz,567099,GCA_000022705.1,GCA_000022705,True,1,1938709,1938709,1938709,1938709,60.4821,5.2e-05,,GCA_000022705.1,GCA_000022705,1
GCA_000022965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000022965.1.fa.gz,566970,GCA_000022965.1,GCA_000022965,True,1,1938483,1938483,1938483,1938483,60.4821,5.2e-05,,GCA_000022965.1,GCA_000022965,1
GCA_000023085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000023085.1.fa.gz,953763,GCA_000023085.1,GCA_000023085,True,1,3197759,3197759,3197759,3197759,44.6609,9.4e-05,,GCA_000023085.1,GCA_000023085,1
GCA_000023205.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000023205.1.fa.gz,691998,GCA_000023205.1,GCA_000023205,True,1,2501097,2501097,2501097,2501097,72.9952,0.0,,GCA_000023205.1,GCA_000023205,1
GCA_000023585.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000023585.1.fa.gz,2135499,GCA_000023585.1,GCA_000023585,True,1,7184930,7184930,7184930,7184930,50.2781,0.0,,GCA_000023585.1,GCA_000023585,1
GCA_000024445.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000024445.1.fa.gz,776875,GCA_000024445.1,GCA_000024445,True,1,2636367,2636367,2636367,2636367,58.5367,7.6e-05,,GCA_000024445.1,GCA_000024445,1
GCA_000025045.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000025045.1.fa.gz,768894,GCA_000025045.1,GCA_000025045,True,2,2635654,2598144,2598144,37510,34.8743,0.0,,GCA_000025045.1,GCA_000025045,1
GCA_000025245.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000025245.2.fa.gz,568377,GCA_000025245.2,GCA_000025245,True,1,1944152,1944152,1944152,1944152,60.4895,0.0,,GCA_000025245.2,GCA_000025245,1
