outer_fold,lineage_95_block,n_genomes
1,ANI95_0001,221
2,ANI95_0002,83
2,ANI95_0009,33
2,ANI95_0011,30
2,ANI95_0017,14
2,ANI95_0020,8
2,ANI95_0024,3
2,ANI95_0029,2
2,ANI95_0040,1
2,ANI95_0079,1
2,ANI95_0071,1
2,ANI95_0069,1
2,ANI95_0058,1
2,ANI95_0055,1
2,ANI95_0045,1
2,ANI95_0080,1
2,ANI95_0066,1
2,ANI95_0074,1
2,ANI95_0085,1
2,ANI95_0088,1
2,ANI95_0041,1
3,ANI95_0003,76
3,ANI95_0008,40
3,ANI95_0012,24
3,ANI95_0015,15
3,ANI95_0019,9
3,ANI95_0022,6
3,ANI95_0027,2
3,ANI95_0084,1
3,ANI95_0042,1
3,ANI95_0076,1
3,ANI95_0052,1
3,ANI95_0043,1
3,ANI95_0056,1
3,ANI95_0086,1
3,ANI95_0050,1
3,ANI95_0062,1
3,ANI95_0061,1
3,ANI95_0083,1
3,ANI95_0068,1
3,ANI95_0053,1
3,ANI95_0060,1
4,ANI95_0004,66
4,ANI95_0007,51
4,ANI95_0013,23
4,ANI95_0016,14
4,ANI95_0018,11
4,ANI95_0023,4
4,ANI95_0026,3
4,ANI95_0063,1
4,ANI95_0048,1
4,ANI95_0078,1
4,ANI95_0070,1
4,ANI95_0082,1
4,ANI95_0072,1
4,ANI95_0092,1
4,ANI95_0073,1
4,ANI95_0081,1
4,ANI95_0065,1
4,ANI95_0091,1
4,ANI95_0049,1
4,ANI95_0075,1
4,ANI95_0054,1
5,ANI95_0005,57
5,ANI95_0006,52
5,ANI95_0010,30
5,ANI95_0014,23
5,ANI95_0021,6
5,ANI95_0025,3
5,ANI95_0028,2
5,ANI95_0044,1
5,ANI95_0059,1
5,ANI95_0046,1
5,ANI95_0087,1
5,ANI95_0077,1
5,ANI95_0067,1
5,ANI95_0030,1
5,ANI95_0089,1
5,ANI95_0047,1
5,ANI95_0051,1
5,ANI95_0090,1
5,ANI95_0057,1
5,ANI95_0064,1
