strain_entity_id,outer_fold,embedding_row
STRAIN_000001,2,0
STRAIN_000007,2,1
STRAIN_000008,2,2
STRAIN_000009,2,3
STRAIN_000010,2,4
STRAIN_000011,2,5
STRAIN_000013,2,6
STRAIN_000014,2,7
STRAIN_000018,2,8
STRAIN_000019,2,9
STRAIN_000020,2,10
STRAIN_000021,2,11
STRAIN_000022,2,12
STRAIN_000023,2,13
STRAIN_000026,2,14
STRAIN_000027,2,15
STRAIN_000030,2,16
STRAIN_000031,2,17
STRAIN_000034,2,18
STRAIN_000045,2,19
STRAIN_000046,2,20
STRAIN_000047,2,21
STRAIN_000048,2,22
STRAIN_000049,2,23
STRAIN_000050,2,24
STRAIN_000051,2,25
STRAIN_000052,2,26
STRAIN_000053,2,27
STRAIN_000054,2,28
STRAIN_000055,2,29
STRAIN_000077,2,30
STRAIN_000078,2,31
STRAIN_000079,2,32
STRAIN_000095,2,33
STRAIN_000096,2,34
STRAIN_000097,2,35
STRAIN_000099,2,36
STRAIN_000100,2,37
STRAIN_000103,2,38
STRAIN_000111,2,39
STRAIN_000122,2,40
STRAIN_000127,2,41
STRAIN_000134,2,42
STRAIN_000135,2,43
STRAIN_000137,2,44
STRAIN_000138,2,45
STRAIN_000139,2,46
STRAIN_000142,2,47
STRAIN_000145,2,48
STRAIN_000155,2,49
STRAIN_000156,2,50
STRAIN_000176,2,51
STRAIN_000179,2,52
STRAIN_000182,2,53
STRAIN_000187,2,54
STRAIN_000194,2,55
STRAIN_000196,2,56
STRAIN_000197,2,57
STRAIN_000198,2,58
STRAIN_000200,2,59
STRAIN_000202,2,60
STRAIN_000205,2,61
STRAIN_000206,2,62
STRAIN_000207,2,63
STRAIN_000215,2,64
STRAIN_000217,2,65
STRAIN_000221,2,66
STRAIN_000222,2,67
STRAIN_000223,2,68
STRAIN_000226,2,69
STRAIN_000236,2,70
STRAIN_000238,2,71
STRAIN_000246,2,72
STRAIN_000250,2,73
STRAIN_000256,2,74
STRAIN_000258,2,75
STRAIN_000265,2,76
STRAIN_000272,2,77
STRAIN_000279,2,78
STRAIN_000282,2,79
STRAIN_000288,2,80
STRAIN_000291,2,81
STRAIN_000296,2,82
STRAIN_000298,2,83
STRAIN_000303,2,84
STRAIN_000305,2,85
STRAIN_000308,2,86
STRAIN_000309,2,87
STRAIN_000310,2,88
STRAIN_000313,2,89
STRAIN_000317,2,90
STRAIN_000323,2,91
STRAIN_000328,2,92
STRAIN_000332,2,93
STRAIN_000338,2,94
STRAIN_000344,2,95
STRAIN_000352,2,96
STRAIN_000355,2,97
STRAIN_000356,2,98
STRAIN_000360,2,99
STRAIN_000361,2,100
STRAIN_000365,2,101
STRAIN_000368,2,102
STRAIN_000373,2,103
STRAIN_000380,2,104
STRAIN_000386,2,105
STRAIN_000387,2,106
STRAIN_000393,2,107
STRAIN_000394,2,108
STRAIN_000407,2,109
STRAIN_000410,2,110
STRAIN_000413,2,111
STRAIN_000417,2,112
STRAIN_000420,2,113
STRAIN_000422,2,114
STRAIN_000425,2,115
STRAIN_000441,2,116
STRAIN_000453,2,117
STRAIN_000472,2,118
STRAIN_000473,2,119
STRAIN_000483,2,120
STRAIN_000491,2,121
STRAIN_000504,2,122
STRAIN_000512,2,123
STRAIN_000513,2,124
STRAIN_000523,2,125
STRAIN_000531,2,126
STRAIN_000532,2,127
STRAIN_000533,2,128
STRAIN_000555,2,129
STRAIN_000572,2,130
STRAIN_000575,2,131
STRAIN_000585,2,132
STRAIN_000604,2,133
STRAIN_000614,2,134
STRAIN_000615,2,135
STRAIN_000636,2,136
STRAIN_000637,2,137
STRAIN_000638,2,138
STRAIN_000640,2,139
STRAIN_000641,2,140
STRAIN_000642,2,141
STRAIN_000643,2,142
STRAIN_000662,2,143
STRAIN_000673,2,144
STRAIN_000681,2,145
STRAIN_000706,2,146
STRAIN_000719,2,147
STRAIN_000721,2,148
STRAIN_000726,2,149
STRAIN_000731,2,150
STRAIN_000737,2,151
STRAIN_000742,2,152
STRAIN_000743,2,153
STRAIN_000744,2,154
STRAIN_000745,2,155
STRAIN_000746,2,156
STRAIN_000747,2,157
STRAIN_000748,2,158
STRAIN_000754,2,159
STRAIN_000758,2,160
STRAIN_000759,2,161
STRAIN_000767,2,162
STRAIN_000778,2,163
STRAIN_000779,2,164
STRAIN_000780,2,165
STRAIN_000781,2,166
STRAIN_000786,2,167
STRAIN_000806,2,168
STRAIN_000815,2,169
STRAIN_000834,2,170
STRAIN_000860,2,171
STRAIN_000861,2,172
STRAIN_000872,2,173
STRAIN_000900,2,174
STRAIN_000916,2,175
STRAIN_000926,2,176
STRAIN_000933,2,177
STRAIN_000944,2,178
STRAIN_000975,2,179
STRAIN_000988,2,180
STRAIN_000993,2,181
STRAIN_000995,2,182
STRAIN_001010,2,183
STRAIN_001017,2,184
STRAIN_001019,2,185
