strain_entity_id,nearclone_block,original_outer_fold,formal_fold,role,A2_eligible
STRAIN_000001,NC_0022,3,5,INNER_TRAIN,True
STRAIN_000002,NC_0017,1,5,INNER_TRAIN,True
STRAIN_000004,NC_0064,4,5,INNER_TRAIN,True
STRAIN_000005,NC_0064,4,5,INNER_TRAIN,True
STRAIN_000006,NC_0108,5,5,OUTER_TEST,True
STRAIN_000007,NC_0018,5,5,OUTER_TEST,True
STRAIN_000008,NC_0018,5,5,OUTER_TEST,True
STRAIN_000009,NC_0018,5,5,OUTER_TEST,True
STRAIN_000010,NC_0018,5,5,OUTER_TEST,True
STRAIN_000011,NC_0018,5,5,OUTER_TEST,True
STRAIN_000013,NC_0035,4,5,INNER_TRAIN,True
STRAIN_000014,NC_0035,4,5,INNER_TRAIN,True
STRAIN_000015,NC_0036,1,5,INNER_TRAIN,True
STRAIN_000016,NC_0023,4,5,INNER_VAL,True
STRAIN_000017,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000018,NC_0027,5,5,OUTER_TEST,True
STRAIN_000019,NC_0027,5,5,OUTER_TEST,True
STRAIN_000020,NC_0027,5,5,OUTER_TEST,True
STRAIN_000021,NC_0027,5,5,OUTER_TEST,True
STRAIN_000022,NC_0035,4,5,INNER_TRAIN,True
STRAIN_000023,NC_0109,5,5,OUTER_TEST,True
STRAIN_000024,NC_0110,5,5,OUTER_TEST,True
STRAIN_000025,NC_0008,2,5,INNER_TRAIN,True
STRAIN_000026,NC_0011,2,5,INNER_VAL,True
STRAIN_000027,NC_0011,2,5,INNER_VAL,True
STRAIN_000028,NC_0111,4,5,INNER_TRAIN,True
STRAIN_000029,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000030,NC_0045,4,5,INNER_VAL,True
STRAIN_000031,NC_0112,3,5,INNER_TRAIN,True
STRAIN_000033,NC_0065,1,5,INNER_TRAIN,True
STRAIN_000034,NC_0114,4,5,INNER_TRAIN,True
STRAIN_000035,NC_0066,4,5,INNER_TRAIN,True
STRAIN_000036,NC_0067,5,5,OUTER_TEST,True
STRAIN_000037,NC_0046,4,5,INNER_TRAIN,True
STRAIN_000038,NC_0006,5,5,OUTER_TEST,True
STRAIN_000039,NC_0009,5,5,OUTER_TEST,True
STRAIN_000040,NC_0115,3,5,INNER_TRAIN,True
STRAIN_000041,NC_0009,5,5,OUTER_TEST,True
STRAIN_000042,NC_0009,5,5,OUTER_TEST,True
STRAIN_000044,NC_0117,3,5,INNER_TRAIN,True
STRAIN_000045,NC_0011,2,5,INNER_VAL,True
STRAIN_000046,NC_0011,2,5,INNER_VAL,True
STRAIN_000047,NC_0011,2,5,INNER_VAL,True
STRAIN_000048,NC_0045,4,5,INNER_VAL,True
