strain_entity_id,outer_fold,control_type,replicate,seed,cosine_true_control,embedding_displacement,l2_distance,embedding_dimension,fold_matched_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000006,5,LOCAL_W10,1,42,0.9498656988143921,0.05013430118560791,0.316651850938797,128,True,False,False,False
STRAIN_000006,5,LOCAL_W10,2,142,0.9309605360031128,0.06903946399688721,0.3715894818305969,128,True,False,False,False
STRAIN_000006,5,LOCAL_W10,3,242,0.9392809867858887,0.06071901321411133,0.3484792411327362,128,True,False,False,False
STRAIN_000006,5,LOCAL_W10,4,342,0.9338884353637695,0.06611156463623047,0.3636249005794525,128,True,False,False,False
STRAIN_000006,5,LOCAL_W10,5,442,0.9451266527175903,0.05487334728240967,0.33128029108047485,128,True,False,False,False
STRAIN_000007,5,LOCAL_W10,1,42,0.9441717863082886,0.055828213691711426,0.33415040373802185,128,True,False,False,False
STRAIN_000007,5,LOCAL_W10,2,142,0.9505166411399841,0.04948335886001587,0.31458956003189087,128,True,False,False,False
STRAIN_000007,5,LOCAL_W10,3,242,0.9511040449142456,0.048895955085754395,0.31271713972091675,128,True,False,False,False
STRAIN_000007,5,LOCAL_W10,4,342,0.9462061524391174,0.05379384756088257,0.3280056118965149,128,True,False,False,False
STRAIN_000007,5,LOCAL_W10,5,442,0.947708249092102,0.05229175090789795,0.32339388132095337,128,True,False,False,False
STRAIN_000008,5,LOCAL_W10,1,42,0.9464398622512817,0.05356013774871826,0.32729244232177734,128,True,False,False,False
STRAIN_000008,5,LOCAL_W10,2,142,0.9482126235961914,0.051787376403808594,0.32183006405830383,128,True,False,False,False
STRAIN_000008,5,LOCAL_W10,3,242,0.9468259811401367,0.05317401885986328,0.3261101245880127,128,True,False,False,False
STRAIN_000008,5,LOCAL_W10,4,342,0.9520048499107361,0.047995150089263916,0.3098226487636566,128,True,False,False,False
STRAIN_000008,5,LOCAL_W10,5,442,0.9409593939781189,0.059040606021881104,0.34362924098968506,128,True,False,False,False
STRAIN_000009,5,LOCAL_W10,1,42,0.9607691764831543,0.0392308235168457,0.2801101803779602,128,True,False,False,False
STRAIN_000009,5,LOCAL_W10,2,142,0.9537253379821777,0.046274662017822266,0.3042192757129669,128,True,False,False,False
STRAIN_000009,5,LOCAL_W10,3,242,0.9411429762840271,0.0588570237159729,0.34309491515159607,128,True,False,False,False
STRAIN_000009,5,LOCAL_W10,4,342,0.943067193031311,0.056932806968688965,0.33743998408317566,128,True,False,False,False
STRAIN_000009,5,LOCAL_W10,5,442,0.9479494690895081,0.05205053091049194,0.3226471245288849,128,True,False,False,False
STRAIN_000010,5,LOCAL_W10,1,42,0.9491325616836548,0.050867438316345215,0.31895914673805237,128,True,False,False,False
STRAIN_000010,5,LOCAL_W10,2,142,0.952587366104126,0.04741263389587402,0.3079370856285095,128,True,False,False,False
STRAIN_000010,5,LOCAL_W10,3,242,0.9474366307258606,0.052563369274139404,0.32423263788223267,128,True,False,False,False
STRAIN_000010,5,LOCAL_W10,4,342,0.9419976472854614,0.058002352714538574,0.3405945897102356,128,True,False,False,False
STRAIN_000010,5,LOCAL_W10,5,442,0.9535674452781677,0.046432554721832275,0.30473780632019043,128,True,False,False,False
STRAIN_000011,5,LOCAL_W10,1,42,0.945317268371582,0.05468273162841797,0.3307042121887207,128,True,False,False,False
STRAIN_000011,5,LOCAL_W10,2,142,0.9381546974182129,0.06184530258178711,0.3516967296600342,128,True,False,False,False
STRAIN_000011,5,LOCAL_W10,3,242,0.9309731721878052,0.06902682781219482,0.3715555965900421,128,True,False,False,False
STRAIN_000011,5,LOCAL_W10,4,342,0.9467035531997681,0.053296446800231934,0.32648563385009766,128,True,False,False,False
STRAIN_000011,5,LOCAL_W10,5,442,0.9432405233383179,0.05675947666168213,0.33692580461502075,128,True,False,False,False
STRAIN_000018,5,LOCAL_W10,1,42,0.954796552658081,0.045203447341918945,0.300677090883255,128,True,False,False,False
STRAIN_000018,5,LOCAL_W10,2,142,0.9495561122894287,0.05044388771057129,0.3176279664039612,128,True,False,False,False
STRAIN_000018,5,LOCAL_W10,3,242,0.9555782675743103,0.0444217324256897,0.29806599020957947,128,True,False,False,False
STRAIN_000018,5,LOCAL_W10,4,342,0.9560983180999756,0.043901681900024414,0.29631587862968445,128,True,False,False,False
STRAIN_000018,5,LOCAL_W10,5,442,0.9507640600204468,0.04923593997955322,0.3138020932674408,128,True,False,False,False
