strain_entity_id,lineage_95_block,formal_fold,role
STRAIN_000001,ANI95_0002,4,INNER_TRAIN
STRAIN_000007,ANI95_0002,4,INNER_TRAIN
STRAIN_000008,ANI95_0002,4,INNER_TRAIN
STRAIN_000009,ANI95_0002,4,INNER_TRAIN
STRAIN_000010,ANI95_0002,4,INNER_TRAIN
STRAIN_000011,ANI95_0002,4,INNER_TRAIN
STRAIN_000013,ANI95_0002,4,INNER_TRAIN
STRAIN_000014,ANI95_0002,4,INNER_TRAIN
STRAIN_000016,ANI95_0003,4,INNER_TRAIN
STRAIN_000017,ANI95_0010,4,INNER_TRAIN
STRAIN_000018,ANI95_0002,4,INNER_TRAIN
STRAIN_000019,ANI95_0002,4,INNER_TRAIN
STRAIN_000020,ANI95_0002,4,INNER_TRAIN
STRAIN_000021,ANI95_0002,4,INNER_TRAIN
STRAIN_000022,ANI95_0002,4,INNER_TRAIN
STRAIN_000023,ANI95_0002,4,INNER_TRAIN
STRAIN_000026,ANI95_0002,4,INNER_TRAIN
STRAIN_000027,ANI95_0002,4,INNER_TRAIN
STRAIN_000028,ANI95_0030,4,INNER_TRAIN
STRAIN_000029,ANI95_0010,4,INNER_TRAIN
STRAIN_000030,ANI95_0002,4,INNER_TRAIN
STRAIN_000031,ANI95_0009,4,INNER_TRAIN
STRAIN_000033,ANI95_0006,4,INNER_TRAIN
STRAIN_000034,ANI95_0002,4,INNER_TRAIN
STRAIN_000044,ANI95_0021,4,INNER_TRAIN
STRAIN_000045,ANI95_0002,4,INNER_TRAIN
STRAIN_000046,ANI95_0002,4,INNER_TRAIN
STRAIN_000047,ANI95_0002,4,INNER_TRAIN
STRAIN_000048,ANI95_0002,4,INNER_TRAIN
STRAIN_000049,ANI95_0002,4,INNER_TRAIN
STRAIN_000050,ANI95_0002,4,INNER_TRAIN
STRAIN_000051,ANI95_0002,4,INNER_TRAIN
STRAIN_000052,ANI95_0002,4,INNER_TRAIN
STRAIN_000053,ANI95_0002,4,INNER_TRAIN
STRAIN_000054,ANI95_0002,4,INNER_TRAIN
STRAIN_000055,ANI95_0002,4,INNER_TRAIN
STRAIN_000056,ANI95_0003,4,INNER_TRAIN
STRAIN_000057,ANI95_0008,4,INNER_TRAIN
STRAIN_000063,ANI95_0010,4,INNER_TRAIN
STRAIN_000064,ANI95_0008,4,INNER_TRAIN
STRAIN_000070,ANI95_0003,4,INNER_TRAIN
STRAIN_000071,ANI95_0010,4,INNER_TRAIN
STRAIN_000072,ANI95_0010,4,INNER_TRAIN
STRAIN_000073,ANI95_0008,4,INNER_TRAIN
STRAIN_000077,ANI95_0002,4,INNER_TRAIN
STRAIN_000078,ANI95_0002,4,INNER_TRAIN
STRAIN_000079,ANI95_0002,4,INNER_TRAIN
