strain_entity_id,assembly_stem,assembly_accessions,n_supporting_records,n_supporting_sources,supporting_sources,identity_status,lineage_95_block,outer_fold
STRAIN_000001,ASM000478525,GCA_000478525;GCA_000478525.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000004,ASM000736295,GCA_000736295;GCA_000736295.2,6,6,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/01_all_reviewed_groups.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv;/root/autodl-tmp/axw/00_audit_manifest/11_registry_multiple_match.csv,UNAMBIGUOUS,ANI95_0004,1
STRAIN_000005,ASM000736295,GCA_000736295;GCA_000736295.3,5,5,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv;/root/autodl-tmp/axw/00_audit_manifest/11_registry_multiple_match.csv,UNAMBIGUOUS,ANI95_0004,1
STRAIN_000006,ASM000736295,GCA_000736295;GCA_000736295.4,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0004,1
STRAIN_000007,ASM000825065,GCA_000825065;GCA_000825065.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000008,ASM000825085,GCA_000825085;GCA_000825085.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000009,ASM000825105,GCA_000825105;GCA_000825105.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000010,ASM000825125,GCA_000825125;GCA_000825125.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000011,ASM000825145,GCA_000825145;GCA_000825145.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
STRAIN_000013,ASM001447955,GCA_001447955;GCA_001447955.1,4,4,/root/autodl-tmp/axw/00_5_identity_rescue/02_registry_all_accession_candidates.csv;/root/autodl-tmp/axw/00_5_identity_rescue/04_registry_genome_identity_resolved.csv;/root/autodl-tmp/axw/00_audit_manifest/06_registry_from_excel.csv;/root/autodl-tmp/axw/00_audit_manifest/09_registry_genome_match.csv,UNAMBIGUOUS,ANI95_0002,5
