strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason,learned_nearclone_block,raw_nearclone_block,FINAL_nearclone_99_5_block,learned_lineage95_block,raw_lineage95_block,FINAL_lineage_95_block
STRAIN_000001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000001.fa.gz,2330229,13,491948,True,,LNC_0023,RNC_0022,NC_0022,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000002.fa.gz,2928189,186,140193,True,,LNC_0015,RNC_0017,NC_0017,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000004.fa.gz,3282860,303,185255,True,,LNC_0069,RNC_0064,NC_0064,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000005,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000005.fa.gz,3272534,297,185255,True,,LNC_0069,RNC_0064,NC_0064,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000006,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000006.fa.gz,2727847,108,185255,True,,LNC_0114,RNC_0108,NC_0108,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000007,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000007.fa.gz,2791569,51,268373,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000008,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000008.fa.gz,2821883,54,268365,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000009,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000009.fa.gz,2787528,50,268309,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000010,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000010.fa.gz,2791524,50,268317,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000011,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000011.fa.gz,2786838,56,268365,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000012,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000012.fa.gz,2724032,921,55265,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000013,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000013.fa.gz,2233772,31,340870,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000014,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000014.fa.gz,2235579,36,195462,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000015,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000015.fa.gz,1949297,1,1949297,True,,LNC_0035,RNC_0036,NC_0036,LANI95_0005,RANI95_0005,ANI95_0005
STRAIN_000016,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000016.fa.gz,2971889,76,325792,True,,LNC_0024,RNC_0023,NC_0023,LANI95_0003,RANI95_0003,ANI95_0003
