relative_path	filename	size_bytes	resolved_accession	resolution_method	source_metadata	sha256
china/chinese_strains.tsv	chinese_strains.tsv	7470		UNRESOLVED		f23294811ce9de220e5790abb238c3fce6ac99baea0cc6cc55a206c567e59519
china/keylab/Bifidobacterium_animalis_Probio-M8.fa.gz	Bifidobacterium_animalis_Probio-M8.fa.gz	576541		UNRESOLVED		cb32f8d3fca4619c597943a5881a9a157d36b05820bde7cc1b7f7469bf3cf44b
china/keylab/Bifidobacterium_animalis_subsp._lactis_ProSci-246.fa.gz	Bifidobacterium_animalis_subsp._lactis_ProSci-246.fa.gz	593650		UNRESOLVED		1450bf032d0312fff04bd0c98f2c2926711be6bf1291e8178ddf5fef979b84a6
china/keylab/Bifidobacterium_animalis_subsp._lactis_V9.fa.gz	Bifidobacterium_animalis_subsp._lactis_V9.fa.gz	590497		AMBIGUOUS	GCA_000092765.1@04_registry_genome_identity_resolved.csv;GCF_000092765.1@04_registry_genome_identity_resolved.csv	9e5e7a244cc6e65598c85855b499b39d539c4c7f3c8dcdd3c7e6bd3af1300d65
china/keylab/Bifidobacterium_animalis_subsp._lactis__BB-69.fa.gz	Bifidobacterium_animalis_subsp._lactis__BB-69.fa.gz	601810		UNRESOLVED		ca911ab8b2e51d2001dc563d88ecd1409fa1d5c8a889057568498ab0cca6dccc
china/keylab/Bifidobacterium_animalis_subsp._lactis__Bbm-19.fa.gz	Bifidobacterium_animalis_subsp._lactis__Bbm-19.fa.gz	593712		UNRESOLVED		e9a2c7d6384866dcfdecfcd9e9c485de48eee76d4f1e75e56be7084ffee106b7
china/keylab/Bifidobacterium_breve_BX-18.fa.gz	Bifidobacterium_breve_BX-18.fa.gz	602579		UNRESOLVED		5c27f38a220221e3d0bab8ce001bce75f45c327f8abec08034b37d1ef4a3a7a9
china/keylab/Bifidobacterium_infantis_B8762.fa.gz	Bifidobacterium_infantis_B8762.fa.gz	826602		UNRESOLVED		8d6908aaaa90a7888218e3a5098ae75de83b0ed3cf048f5b0e440ad7b820765c
china/keylab/Lacticaseibacillus_casei_Zhang.fa.gz	Lacticaseibacillus_casei_Zhang.fa.gz	893625		UNRESOLVED		ab35e32c82ef6fecc2813a19adfae1a69b5b45d04cbd3d02d48c31a490e57487
china/keylab/Lacticaseibacillus_paracasei_PC-01.fa.gz	Lacticaseibacillus_paracasei_PC-01.fa.gz	875521		UNRESOLVED		73c942faaf1a1e485be49642948dad1c966132ee3948d67c417955d3701bc4b9
china/keylab/Lacticaseibacillus_rhamnosus_Probio-M9.fa.gz	Lacticaseibacillus_rhamnosus_Probio-M9.fa.gz	899167		UNRESOLVED		c4300fb10053e08ed5d6ec651e0a86c1e73c1da683a95daf797bf1f85b69a881
china/keylab/Lactiplantibacillus_plantarum_P-8.fa.gz	Lactiplantibacillus_plantarum_P-8.fa.gz	1001888		UNRESOLVED		06ddbb3603db0955691092a2fe5e90af34eb6f93205fc1197956392d749a0dd9
china/keylab/Lactiplantibacillus_plantarum_P9.fa.gz	Lactiplantibacillus_plantarum_P9.fa.gz	1036344		UNRESOLVED		2323680c92cfcbfad52dc65f832a41c4d8635c441a11a67bf9c62719cd457ebe
china/keylab/Lactobacillus_acidophilus_LA-06.fa.gz	Lactobacillus_acidophilus_LA-06.fa.gz	682231		UNRESOLVED		d3d7beee771c4bb1f3eebcae21e8d2d21ea97c91a5020388729cf4f64ab3db3e
china/keylab/Limosilactobacillus_fermentum_UP-1.fa.gz	Limosilactobacillus_fermentum_UP-1.fa.gz	710478		UNRESOLVED		e87a08cc4590674f7d13d7b82063103686478b38dd6a8721f2488c31d6d3aee6
ncbi/1678.111.fa.gz	1678.111.fa.gz	808298		UNRESOLVED		5e1308679af868b4d28bb7aff0865a3cb897674e0eac18ca96228d439beec178
ncbi/43380_2_239.fa.gz	43380_2_239.fa.gz	868622		UNRESOLVED		17817c4a876394aa05b559b2017e5f039bcb76320f85869cdfb41801a1605e01
ncbi/43380_2_241.fa.gz	43380_2_241.fa.gz	801370		UNRESOLVED		133ecf24b92854c483657931e970b2c1e43fc1e52c1df8e03dd3d8488dba27c5
