strain_entity_id,canonical_genome_path,total_bp_x,contigs,largest_contig_bp_x,skani_compatible,exclusion_reason,learned_nearclone_block,raw_nearclone_block,FINAL_nearclone_99_5_block,learned_lineage95_block,raw_lineage95_block,FINAL_lineage_95_block,source_genome_path,normalized_genome_path,n_contigs,total_bp_y,largest_contig_bp_y,normalization_status,parse_status,n_genes,n_contigs_with_genes,partial_genes,internal_stop_proteins,coordinate_length_mismatches,median_protein_length_aa,partial_gene_fraction,gene_call_qc,global_gene_count_extreme,stage02_1_decision
STRAIN_000001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000001.fa.gz,2330229,13,491948,True,,LNC_0023,RNC_0022,NC_0022,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000001.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000001.fna.gz,13,2330229,491948,PASS,PASS,1936,13,9,0,0,301.0,0.0046487603305785,PASS,False,KEEP
STRAIN_000002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000002.fa.gz,2928189,186,140193,True,,LNC_0015,RNC_0017,NC_0017,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000002.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000002.fna.gz,186,2928189,140193,PASS,PASS,3571,172,121,0,0,185.0,0.0338840660879305,PASS,False,KEEP
STRAIN_000004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000004.fa.gz,3282860,303,185255,True,,LNC_0069,RNC_0064,NC_0064,LANI95_0004,RANI95_0004,ANI95_0004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000004.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000004.fna.gz,303,3282860,185255,PASS,PASS,3099,303,474,0,0,230.0,0.1529525653436592,PASS,False,KEEP
STRAIN_000005,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000005.fa.gz,3272534,297,185255,True,,LNC_0069,RNC_0064,NC_0064,LANI95_0004,RANI95_0004,ANI95_0004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000005.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000005.fna.gz,297,3272534,185255,PASS,PASS,3083,297,462,0,0,231.0,0.149854038274408,PASS,False,KEEP
STRAIN_000006,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000006.fa.gz,2727847,108,185255,True,,LNC_0114,RNC_0108,NC_0108,LANI95_0004,RANI95_0004,ANI95_0004,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000006.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000006.fna.gz,108,2727847,185255,PASS,PASS,2347,108,152,0,0,252.0,0.0647635279079676,PASS,False,KEEP
STRAIN_000007,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000007.fa.gz,2791569,51,268373,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000007.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000007.fna.gz,51,2791569,268373,PASS,PASS,2558,51,45,0,0,274.0,0.0175918686473807,PASS,False,KEEP
STRAIN_000008,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000008.fa.gz,2821883,54,268365,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000008.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000008.fna.gz,54,2821883,268365,PASS,PASS,2579,54,52,0,0,274.0,0.0201628538193098,PASS,False,KEEP
STRAIN_000009,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000009.fa.gz,2787528,50,268309,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000009.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000009.fna.gz,50,2787528,268309,PASS,PASS,2546,50,46,0,0,274.0,0.0180675569520816,PASS,False,KEEP
STRAIN_000010,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000010.fa.gz,2791524,50,268317,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000010.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000010.fna.gz,50,2791524,268317,PASS,PASS,2555,50,51,0,0,274.0,0.0199608610567514,PASS,False,KEEP
STRAIN_000011,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000011.fa.gz,2786838,56,268365,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000011.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000011.fna.gz,56,2786838,268365,PASS,PASS,2558,56,52,0,0,273.0,0.0203283815480844,PASS,False,KEEP
STRAIN_000012,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000012.fa.gz,2724032,921,55265,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000012.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000012.fna.gz,921,2724032,55265,PASS,PASS,3386,918,1347,0,0,190.0,0.3978145304193738,WARN:HIGH_PARTIAL_GENE_FRACTION,False,KEEP_PENDING_QC_REVIEW
STRAIN_000013,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000013.fa.gz,2233772,31,340870,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000013.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000013.fna.gz,31,2233772,340870,PASS,PASS,1815,29,9,0,0,316.0,0.0049586776859504,PASS,False,KEEP
STRAIN_000014,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000014.fa.gz,2235579,36,195462,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000014.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000014.fna.gz,36,2235579,195462,PASS,PASS,1815,30,9,0,0,316.0,0.0049586776859504,PASS,False,KEEP
STRAIN_000015,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000015.fa.gz,1949297,1,1949297,True,,LNC_0035,RNC_0036,NC_0036,LANI95_0005,RANI95_0005,ANI95_0005,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000015.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000015.fna.gz,1,1949297,1949297,PASS,PASS,1944,1,0,0,0,248.5,0.0,PASS,False,KEEP
STRAIN_000016,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000016.fa.gz,2971889,76,325792,True,,LNC_0024,RNC_0023,NC_0023,LANI95_0003,RANI95_0003,ANI95_0003,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000016.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000016.fna.gz,76,2971889,325792,PASS,PASS,2860,76,114,0,0,253.0,0.0398601398601398,PASS,False,KEEP
STRAIN_000017,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000017.fa.gz,2009973,1,2009973,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000017.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000017.fna.gz,1,2009973,2009973,PASS,PASS,1920,1,1,0,0,264.0,0.0005208333333333,PASS,False,KEEP
