lineage_95_block,outer_fold
ANI95_0001,1
ANI95_0004,1
ANI95_0006,1
ANI95_0030,1
ANI95_0042,1
ANI95_0044,1
ANI95_0045,1
ANI95_0048,1
ANI95_0050,1
ANI95_0059,1
ANI95_0061,1
ANI95_0064,1
ANI95_0068,1
ANI95_0072,1
ANI95_0084,1
ANI95_0011,2
ANI95_0013,2
ANI95_0040,2
ANI95_0041,2
ANI95_0053,2
ANI95_0055,2
ANI95_0057,2
ANI95_0062,2
ANI95_0066,2
ANI95_0067,2
ANI95_0073,2
ANI95_0074,2
ANI95_0077,2
ANI95_0081,2
ANI95_0089,2
ANI95_0090,2
ANI95_0091,2
ANI95_0003,3
ANI95_0007,3
ANI95_0017,3
ANI95_0020,3
ANI95_0025,3
ANI95_0026,3
ANI95_0027,3
ANI95_0029,3
ANI95_0046,3
ANI95_0047,3
ANI95_0054,3
ANI95_0063,3
ANI95_0070,3
ANI95_0075,3
ANI95_0083,3
ANI95_0085,3
ANI95_0092,3
ANI95_0005,4
ANI95_0009,4
ANI95_0010,4
ANI95_0012,4
ANI95_0014,4
ANI95_0015,4
ANI95_0016,4
ANI95_0021,4
ANI95_0024,4
ANI95_0028,4
ANI95_0043,4
ANI95_0051,4
ANI95_0052,4
ANI95_0058,4
ANI95_0069,4
ANI95_0078,4
ANI95_0082,4
ANI95_0002,5
ANI95_0008,5
ANI95_0018,5
ANI95_0019,5
ANI95_0022,5
ANI95_0023,5
ANI95_0049,5
ANI95_0056,5
ANI95_0060,5
ANI95_0065,5
ANI95_0071,5
ANI95_0076,5
ANI95_0079,5
ANI95_0080,5
ANI95_0086,5
ANI95_0087,5
ANI95_0088,5
